name,title,tag,link
aaa001.hw001,[AAA/SSS/Z5] Fab bay tool module subsys check,FAB; BAY; TOOL; MODULE; SUBSYS; COMPONENT,https://example.com/proc/AAA/SSS/Z5/fab-deep
aaa002.hw002,[AAA/SSS/Z5] 축 원점복귀 절차 (AXIS_X Homing),MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/SSS/Z5/homing-axis_x
aaa003.hw003,[AAA/SSS/Z5] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/SSS/Z5/jog-axis_x
aaa004.hw004,[AAA/SSS/Z5] Servo AXIS_Y Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/SSS/Z5/homing-axis_y
aaa005.hw005,[AAA/SSS/Z5] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/SSS/Z5/jog-axis_y
aaa006.hw006,[AAA/SSS/Z5] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/SSS/Z5/homing-axis_z
aaa007.hw007,[AAA/SSS/Z5] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/SSS/Z5/jog-axis_z
aaa008.hw008,[AAA/SSS/Z5] Servo AXIS_R Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/SSS/Z5/homing-axis_r
aaa009.hw009,[AAA/SSS/Z5] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/SSS/Z5/jog-axis_r
aaa010.hw010,[AAA/SSS/Z5] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/SSS/Z5/homing-axis_t
aaa011.hw011,[AAA/SSS/Z5] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/SSS/Z5/jog-axis_t
aaa012.hw012,[AAA/SSS/Z5] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/AAA/SSS/Z5/stepper-feed_a
aaa013.hw013,[AAA/SSS/Z5] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/AAA/SSS/Z5/stepper-feed_b
aaa014.hw014,[AAA/SSS/Z5] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/AAA/SSS/Z5/stepper-feed_c
aaa015.hw015,[AAA/SSS/Z5] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/AAA/SSS/Z5/spindle-sp_01
aaa016.hw016,[AAA/SSS/Z5] Spindle SP_02 Speed Tune — full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_02,https://example.com/proc/AAA/SSS/Z5/spindle-sp_02
aaa017.hw017,[AAA/SSS/Z5] Spindle SP_03 Speed Tune,MOTOR; SPINDLE; SP_03,https://example.com/proc/AAA/SSS/Z5/spindle-sp_03
aaa018.hw018,[AAA/SSS/Z5] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/AAA/SSS/Z5/prox-01
aaa019.hw019,[AAA/SSS/Z5] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/AAA/SSS/Z5/prox-02
aaa020.hw020,[AAA/SSS/Z5] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/AAA/SSS/Z5/prox-03
aaa021.hw021,[AAA/SSS/Z5] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/AAA/SSS/Z5/prox-04
aaa022.hw022,[AAA/SSS/Z5] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/AAA/SSS/Z5/prox-05
aaa023.hw023,[AAA/SSS/Z5] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/AAA/SSS/Z5/prox-06
aaa024.hw024,[AAA/SSS/Z5] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/AAA/SSS/Z5/prox-07
aaa025.hw025,[AAA/SSS/Z5] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/AAA/SSS/Z5/prox-08
aaa026.hw026,[AAA/SSS/Z5] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/AAA/SSS/Z5/enc-01
aaa027.hw027,[AAA/SSS/Z5] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/AAA/SSS/Z5/enc-02
aaa028.hw028,[AAA/SSS/Z5] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/AAA/SSS/Z5/enc-03
aaa029.hw029,[AAA/SSS/Z5] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/AAA/SSS/Z5/enc-04
aaa030.hw030,[AAA/SSS/Z5] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/AAA/SSS/Z5/temp-chamber
aaa031.hw031,[AAA/SSS/Z5] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/AAA/SSS/Z5/temp-stage
aaa032.hw032,[AAA/SSS/Z5] Temperature LAMP Monitor — full sequence with safety interlock verification and post-run validation,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/AAA/SSS/Z5/temp-lamp
aaa033.hw033,[AAA/SSS/Z5] Temperature EXHAUST Monitor,SENSOR; TEMPERATURE; EXHAUST,https://example.com/proc/AAA/SSS/Z5/temp-exhaust
aaa034.hw034,[AAA/SSS/Z5] IO Port 01 Configuration,IO; PORT_01,https://example.com/proc/AAA/SSS/Z5/io-p01
aaa035.hw035,[AAA/SSS/Z5] IO Port 02 Configuration,IO; PORT_02,https://example.com/proc/AAA/SSS/Z5/io-p02
aaa036.hw036,[AAA/SSS/Z5] IO Port 03 Configuration,IO; PORT_03,https://example.com/proc/AAA/SSS/Z5/io-p03
aaa037.hw037,[AAA/SSS/Z5] IO Port 04 Configuration,IO; PORT_04,https://example.com/proc/AAA/SSS/Z5/io-p04
aaa038.hw038,[AAA/SSS/Z5] IO Port 05 Configuration,IO; PORT_05,https://example.com/proc/AAA/SSS/Z5/io-p05
aaa039.hw039,[AAA/SSS/Z5] IO Port 06 Configuration,IO; PORT_06,https://example.com/proc/AAA/SSS/Z5/io-p06
aaa040.hw040,[AAA/SSS/Z5] IO Port 07 Configuration,IO; PORT_07,https://example.com/proc/AAA/SSS/Z5/io-p07
aaa041.hw041,[AAA/SSS/Z5] IO Port 08 Configuration,IO; PORT_08,https://example.com/proc/AAA/SSS/Z5/io-p08
aaa042.hw042,[AAA/SSS/Z5] IO Port 09 Configuration,IO; PORT_09,https://example.com/proc/AAA/SSS/Z5/io-p09
aaa043.hw043,[AAA/SSS/Z5] IO Port 10 Configuration,IO; PORT_10,https://example.com/proc/AAA/SSS/Z5/io-p10
aaa044.hw044,[AAA/SSS/Z5] IO Port 11 Configuration,IO; PORT_11,https://example.com/proc/AAA/SSS/Z5/io-p11
aaa045.hw045,[AAA/SSS/Z5] IO Port 12 Configuration,IO; PORT_12,https://example.com/proc/AAA/SSS/Z5/io-p12
aaa046.hw046,[AAA/SSS/Z5] Laser ALIGN Calibration,OPTICS; LASER; ALIGN,https://example.com/proc/AAA/SSS/Z5/laser-align
aaa047.hw047,[AAA/SSS/Z5] Laser POWER Calibration,OPTICS; LASER; POWER,https://example.com/proc/AAA/SSS/Z5/laser-power
aaa048.hw048,[AAA/SSS/Z5] Laser PULSE Calibration — full sequence with safety interlock verification and post-run validation,OPTICS; LASER; PULSE,https://example.com/proc/AAA/SSS/Z5/laser-pulse
aaa049.hw049,[AAA/SSS/Z5] Laser WAVELENGTH Calibration,OPTICS; LASER; WAVELENGTH,https://example.com/proc/AAA/SSS/Z5/laser-wavelength
aaa050.hw050,[AAA/SSS/Z5] Camera TOP Focus,OPTICS; CAMERA; TOP,https://example.com/proc/AAA/SSS/Z5/cam-top
aaa051.hw051,[AAA/SSS/Z5] Camera SIDE Focus,OPTICS; CAMERA; SIDE,https://example.com/proc/AAA/SSS/Z5/cam-side
aaa052.hw052,[AAA/SSS/Z5] Camera BOTTOM Focus,OPTICS; CAMERA; BOTTOM,https://example.com/proc/AAA/SSS/Z5/cam-bottom
aaa053.hw053,[AAA/SSS/Z5] Camera MACRO Focus,OPTICS; CAMERA; MACRO,https://example.com/proc/AAA/SSS/Z5/cam-macro
aaa054.hw054,[AAA/SSS/Z5] Vacuum Pump ROUGH Start,VACUUM; PUMP; ROUGH,https://example.com/proc/AAA/SSS/Z5/vac-rough
aaa055.hw055,[AAA/SSS/Z5] Vacuum Pump TURBO Start,VACUUM; PUMP; TURBO,https://example.com/proc/AAA/SSS/Z5/vac-turbo
aaa056.hw056,[AAA/SSS/Z5] Vacuum Pump BACKING Start,VACUUM; PUMP; BACKING,https://example.com/proc/AAA/SSS/Z5/vac-backing
aaa057.hw057,[AAA/SSS/Z5] Gas Mass Flow AR Setup,GAS; MASS_AR,https://example.com/proc/AAA/SSS/Z5/gas-ar
aaa058.hw058,[AAA/SSS/Z5] Gas Mass Flow N2 Setup,GAS; MASS_N2,https://example.com/proc/AAA/SSS/Z5/gas-n2
aaa059.hw059,[AAA/SSS/Z5] Gas Mass Flow O2 Setup,GAS; MASS_O2,https://example.com/proc/AAA/SSS/Z5/gas-o2
aaa060.hw060,[AAA/SSS/Z5] Gas Mass Flow HE Setup — full sequence with safety interlock verification and post-run validation,GAS; MASS_HE,https://example.com/proc/AAA/SSS/Z5/gas-he
aaa061.hw061,[AAA/SSS/Z5] Gas Mass Flow CF4 Setup,GAS; MASS_CF4,https://example.com/proc/AAA/SSS/Z5/gas-cf4
aaa062.hw062,[AAA/SSS/Z5] Gas Mass Flow SF6 Setup,GAS; MASS_SF6,https://example.com/proc/AAA/SSS/Z5/gas-sf6
aaa063.hw063,[AAA/SSS/Z5] Valve VLV_01 Cycle Test,VALVE; VLV_01,https://example.com/proc/AAA/SSS/Z5/vlv-01
aaa064.hw064,[AAA/SSS/Z5] Valve VLV_02 Cycle Test,VALVE; VLV_02,https://example.com/proc/AAA/SSS/Z5/vlv-02
aaa065.hw065,[AAA/SSS/Z5] Valve VLV_03 Cycle Test,VALVE; VLV_03,https://example.com/proc/AAA/SSS/Z5/vlv-03
aaa066.hw066,[AAA/SSS/Z5] Valve VLV_04 Cycle Test,VALVE; VLV_04,https://example.com/proc/AAA/SSS/Z5/vlv-04
aaa067.hw067,[AAA/SSS/Z5] Valve VLV_05 Cycle Test,VALVE; VLV_05,https://example.com/proc/AAA/SSS/Z5/vlv-05
aaa068.hw068,[AAA/SSS/Z5] Valve VLV_06 Cycle Test,VALVE; VLV_06,https://example.com/proc/AAA/SSS/Z5/vlv-06
aaa069.hw069,[AAA/SSS/Z5] Valve VLV_07 Cycle Test,VALVE; VLV_07,https://example.com/proc/AAA/SSS/Z5/vlv-07
aaa070.hw070,[AAA/SSS/Z5] Valve VLV_08 Cycle Test,VALVE; VLV_08,https://example.com/proc/AAA/SSS/Z5/vlv-08
aaa071.hw071,[AAA/SSS/Z5] Valve VLV_09 Cycle Test,VALVE; VLV_09,https://example.com/proc/AAA/SSS/Z5/vlv-09
aaa072.hw072,[AAA/SSS/Z5] Valve VLV_10 Cycle Test,VALVE; VLV_10,https://example.com/proc/AAA/SSS/Z5/vlv-10
aaa073.hw073,[AAA/SSS/Z5] Valve VLV_11 Cycle Test,VALVE; VLV_11,https://example.com/proc/AAA/SSS/Z5/vlv-11
