name,title,tag,link
aaa001.hw001,[AAA/TTT/Q2] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/TTT/Q2/homing-axis_x
aaa002.hw002,[AAA/TTT/Q2] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/TTT/Q2/jog-axis_x
aaa003.hw003,[AAA/TTT/Q2] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/TTT/Q2/homing-axis_y
aaa004.hw004,[AAA/TTT/Q2] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/TTT/Q2/jog-axis_y
aaa005.hw005,[AAA/TTT/Q2] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/TTT/Q2/homing-axis_z
aaa006.hw006,[AAA/TTT/Q2] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/TTT/Q2/jog-axis_z
aaa007.hw007,[AAA/TTT/Q2] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/TTT/Q2/homing-axis_r
aaa008.hw008,[AAA/TTT/Q2] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/TTT/Q2/jog-axis_r
aaa009.hw009,[AAA/TTT/Q2] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/TTT/Q2/homing-axis_t
aaa010.hw010,[AAA/TTT/Q2] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/TTT/Q2/jog-axis_t
aaa011.hw011,[AAA/TTT/Q2] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/AAA/TTT/Q2/stepper-feed_a
aaa012.hw012,[AAA/TTT/Q2] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/AAA/TTT/Q2/stepper-feed_b
aaa013.hw013,[AAA/TTT/Q2] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/AAA/TTT/Q2/stepper-feed_c
aaa014.hw014,[AAA/TTT/Q2] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/AAA/TTT/Q2/spindle-sp_01
aaa015.hw015,[AAA/TTT/Q2] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/AAA/TTT/Q2/spindle-sp_02
aaa016.hw016,[AAA/TTT/Q2] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/AAA/TTT/Q2/spindle-sp_03
aaa017.hw017,[AAA/TTT/Q2] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/AAA/TTT/Q2/prox-01
aaa018.hw018,[AAA/TTT/Q2] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/AAA/TTT/Q2/prox-02
aaa019.hw019,[AAA/TTT/Q2] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/AAA/TTT/Q2/prox-03
aaa020.hw020,[AAA/TTT/Q2] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/AAA/TTT/Q2/prox-04
aaa021.hw021,[AAA/TTT/Q2] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/AAA/TTT/Q2/prox-05
aaa022.hw022,[AAA/TTT/Q2] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/AAA/TTT/Q2/prox-06
aaa023.hw023,[AAA/TTT/Q2] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/AAA/TTT/Q2/prox-07
aaa024.hw024,[AAA/TTT/Q2] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/AAA/TTT/Q2/prox-08
