name,title,tag,link
aaa001.hw001,[AAA/UUU/M1] Fab bay tool module subsys check,FAB; BAY; TOOL; MODULE; SUBSYS; COMPONENT,https://example.com/proc/AAA/UUU/M1/fab-deep
aaa002.hw002,[AAA/UUU/M1] 축 원점복귀 절차 (AXIS_X Homing),MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/UUU/M1/homing-axis_x
aaa003.hw003,[AAA/UUU/M1] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/UUU/M1/jog-axis_x
aaa004.hw004,[AAA/UUU/M1] Servo AXIS_Y Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/UUU/M1/homing-axis_y
aaa005.hw005,[AAA/UUU/M1] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/UUU/M1/jog-axis_y
aaa006.hw006,[AAA/UUU/M1] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/UUU/M1/homing-axis_z
aaa007.hw007,[AAA/UUU/M1] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/UUU/M1/jog-axis_z
aaa008.hw008,[AAA/UUU/M1] Servo AXIS_R Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/UUU/M1/homing-axis_r
aaa009.hw009,[AAA/UUU/M1] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/UUU/M1/jog-axis_r
aaa010.hw010,[AAA/UUU/M1] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/UUU/M1/homing-axis_t
aaa011.hw011,[AAA/UUU/M1] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/UUU/M1/jog-axis_t
aaa012.hw012,[AAA/UUU/M1] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/AAA/UUU/M1/stepper-feed_a
aaa013.hw013,[AAA/UUU/M1] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/AAA/UUU/M1/stepper-feed_b
aaa014.hw014,[AAA/UUU/M1] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/AAA/UUU/M1/stepper-feed_c
aaa015.hw015,[AAA/UUU/M1] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/AAA/UUU/M1/spindle-sp_01
aaa016.hw016,[AAA/UUU/M1] Spindle SP_02 Speed Tune — full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_02,https://example.com/proc/AAA/UUU/M1/spindle-sp_02
aaa017.hw017,[AAA/UUU/M1] Spindle SP_03 Speed Tune,MOTOR; SPINDLE; SP_03,https://example.com/proc/AAA/UUU/M1/spindle-sp_03
aaa018.hw018,[AAA/UUU/M1] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/AAA/UUU/M1/prox-01
aaa019.hw019,[AAA/UUU/M1] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/AAA/UUU/M1/prox-02
aaa020.hw020,[AAA/UUU/M1] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/AAA/UUU/M1/prox-03
aaa021.hw021,[AAA/UUU/M1] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/AAA/UUU/M1/prox-04
aaa022.hw022,[AAA/UUU/M1] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/AAA/UUU/M1/prox-05
aaa023.hw023,[AAA/UUU/M1] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/AAA/UUU/M1/prox-06
aaa024.hw024,[AAA/UUU/M1] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/AAA/UUU/M1/prox-07
aaa025.hw025,[AAA/UUU/M1] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/AAA/UUU/M1/prox-08
aaa026.hw026,[AAA/UUU/M1] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/AAA/UUU/M1/enc-01
aaa027.hw027,[AAA/UUU/M1] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/AAA/UUU/M1/enc-02
aaa028.hw028,[AAA/UUU/M1] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/AAA/UUU/M1/enc-03
aaa029.hw029,[AAA/UUU/M1] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/AAA/UUU/M1/enc-04
aaa030.hw030,[AAA/UUU/M1] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/AAA/UUU/M1/temp-chamber
aaa031.hw031,[AAA/UUU/M1] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/AAA/UUU/M1/temp-stage
aaa032.hw032,[AAA/UUU/M1] Temperature LAMP Monitor — full sequence with safety interlock verification and post-run validation,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/AAA/UUU/M1/temp-lamp
aaa033.hw033,[AAA/UUU/M1] Temperature EXHAUST Monitor,SENSOR; TEMPERATURE; EXHAUST,https://example.com/proc/AAA/UUU/M1/temp-exhaust
aaa034.hw034,[AAA/UUU/M1] IO Port 01 Configuration,IO; PORT_01,https://example.com/proc/AAA/UUU/M1/io-p01
aaa035.hw035,[AAA/UUU/M1] IO Port 02 Configuration,IO; PORT_02,https://example.com/proc/AAA/UUU/M1/io-p02
aaa036.hw036,[AAA/UUU/M1] IO Port 03 Configuration,IO; PORT_03,https://example.com/proc/AAA/UUU/M1/io-p03
aaa037.hw037,[AAA/UUU/M1] IO Port 04 Configuration,IO; PORT_04,https://example.com/proc/AAA/UUU/M1/io-p04
aaa038.hw038,[AAA/UUU/M1] IO Port 05 Configuration,IO; PORT_05,https://example.com/proc/AAA/UUU/M1/io-p05
aaa039.hw039,[AAA/UUU/M1] IO Port 06 Configuration,IO; PORT_06,https://example.com/proc/AAA/UUU/M1/io-p06
aaa040.hw040,[AAA/UUU/M1] IO Port 07 Configuration,IO; PORT_07,https://example.com/proc/AAA/UUU/M1/io-p07
aaa041.hw041,[AAA/UUU/M1] IO Port 08 Configuration,IO; PORT_08,https://example.com/proc/AAA/UUU/M1/io-p08
