name,title,link
aaa.uaall01,[AAA/UUU/all] Cross-machine Safety Interlock Reference,https://example.com/proc/AAA/UUU/all/01
aaa.uaall02,[AAA/UUU/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/AAA/UUU/all/02
aaa.uaall03,[AAA/UUU/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/AAA/UUU/all/03
aaa.uaall04,[AAA/UUU/all] Global Parameter Export and Import Guide,https://example.com/proc/AAA/UUU/all/04
aaa.uaall05,[AAA/UUU/all] Unified Alarm Code Master List,https://example.com/proc/AAA/UUU/all/05
aaa.uaall06,[AAA/UUU/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/AAA/UUU/all/06
aaa.uaall07,[AAA/UUU/all] Standard Naming Convention for Procedures,https://example.com/proc/AAA/UUU/all/07
aaa.uaall08,[AAA/UUU/all] Part Release Notes and Change Log Index,https://example.com/proc/AAA/UUU/all/08
aaa.uaall09,[AAA/UUU/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/AAA/UUU/all/09
aaa.uaall10,[AAA/UUU/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/AAA/UUU/all/10
aaa.uaall11,[AAA/UUU/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/AAA/UUU/all/11
aaa.uaall12,[AAA/UUU/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/AAA/UUU/all/12
aaa.uaall13,[AAA/UUU/all] Legacy migration checklist (deprecated paths),https://example.com/proc/AAA/UUU/all/13
aaa.uaall14,[AAA/UUU/all] Quarterly audit template for all machines,https://example.com/proc/AAA/UUU/all/14
aaa.uaall15,[AAA/UUU/all] Shared spare-parts and consumables index,https://example.com/proc/AAA/UUU/all/15
