name,title,tag,link
aaa001.hw001,[AAA/SSS/Z2] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/SSS/Z2/homing-axis_x
aaa002.hw002,[AAA/SSS/Z2] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/AAA/SSS/Z2/jog-axis_x
aaa003.hw003,[AAA/SSS/Z2] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/SSS/Z2/homing-axis_y
aaa004.hw004,[AAA/SSS/Z2] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/AAA/SSS/Z2/jog-axis_y
aaa005.hw005,[AAA/SSS/Z2] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/SSS/Z2/homing-axis_z
aaa006.hw006,[AAA/SSS/Z2] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/AAA/SSS/Z2/jog-axis_z
aaa007.hw007,[AAA/SSS/Z2] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/SSS/Z2/homing-axis_r
aaa008.hw008,[AAA/SSS/Z2] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/AAA/SSS/Z2/jog-axis_r
aaa009.hw009,[AAA/SSS/Z2] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/SSS/Z2/homing-axis_t
aaa010.hw010,[AAA/SSS/Z2] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/AAA/SSS/Z2/jog-axis_t
aaa011.hw011,[AAA/SSS/Z2] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/AAA/SSS/Z2/stepper-feed_a
aaa012.hw012,[AAA/SSS/Z2] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/AAA/SSS/Z2/stepper-feed_b
aaa013.hw013,[AAA/SSS/Z2] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/AAA/SSS/Z2/stepper-feed_c
aaa014.hw014,[AAA/SSS/Z2] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/AAA/SSS/Z2/spindle-sp_01
aaa015.hw015,[AAA/SSS/Z2] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/AAA/SSS/Z2/spindle-sp_02
aaa016.hw016,[AAA/SSS/Z2] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/AAA/SSS/Z2/spindle-sp_03
