name,title,link
bbb.uaall01,[BBB/UUU/all] Cross-machine Safety Interlock Reference,https://example.com/proc/BBB/UUU/all/01
bbb.uaall02,[BBB/UUU/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/BBB/UUU/all/02
bbb.uaall03,[BBB/UUU/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/BBB/UUU/all/03
bbb.uaall04,[BBB/UUU/all] Global Parameter Export and Import Guide,https://example.com/proc/BBB/UUU/all/04
bbb.uaall05,[BBB/UUU/all] Unified Alarm Code Master List,https://example.com/proc/BBB/UUU/all/05
bbb.uaall06,[BBB/UUU/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/BBB/UUU/all/06
bbb.uaall07,[BBB/UUU/all] Standard Naming Convention for Procedures,https://example.com/proc/BBB/UUU/all/07
bbb.uaall08,[BBB/UUU/all] Part Release Notes and Change Log Index,https://example.com/proc/BBB/UUU/all/08
bbb.uaall09,[BBB/UUU/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/BBB/UUU/all/09
bbb.uaall10,[BBB/UUU/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/BBB/UUU/all/10
bbb.uaall11,[BBB/UUU/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/BBB/UUU/all/11
bbb.uaall12,[BBB/UUU/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/BBB/UUU/all/12
bbb.uaall13,[BBB/UUU/all] Legacy migration checklist (deprecated paths),https://example.com/proc/BBB/UUU/all/13
bbb.uaall14,[BBB/UUU/all] Quarterly audit template for all machines,https://example.com/proc/BBB/UUU/all/14
bbb.uaall15,[BBB/UUU/all] Shared spare-parts and consumables index,https://example.com/proc/BBB/UUU/all/15
