name,title,tag,link
bbb001.hw001,[BBB/TTT/Q1] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/BBB/TTT/Q1/homing-axis_x
bbb002.hw002,[BBB/TTT/Q1] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/BBB/TTT/Q1/jog-axis_x
bbb003.hw003,[BBB/TTT/Q1] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/BBB/TTT/Q1/homing-axis_y
bbb004.hw004,[BBB/TTT/Q1] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/BBB/TTT/Q1/jog-axis_y
bbb005.hw005,[BBB/TTT/Q1] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/BBB/TTT/Q1/homing-axis_z
bbb006.hw006,[BBB/TTT/Q1] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/BBB/TTT/Q1/jog-axis_z
bbb007.hw007,[BBB/TTT/Q1] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/BBB/TTT/Q1/homing-axis_r
bbb008.hw008,[BBB/TTT/Q1] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/BBB/TTT/Q1/jog-axis_r
bbb009.hw009,[BBB/TTT/Q1] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/BBB/TTT/Q1/homing-axis_t
bbb010.hw010,[BBB/TTT/Q1] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/BBB/TTT/Q1/jog-axis_t
bbb011.hw011,[BBB/TTT/Q1] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/BBB/TTT/Q1/stepper-feed_a
bbb012.hw012,[BBB/TTT/Q1] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/BBB/TTT/Q1/stepper-feed_b
bbb013.hw013,[BBB/TTT/Q1] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/BBB/TTT/Q1/stepper-feed_c
bbb014.hw014,[BBB/TTT/Q1] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/BBB/TTT/Q1/spindle-sp_01
bbb015.hw015,[BBB/TTT/Q1] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/BBB/TTT/Q1/spindle-sp_02
bbb016.hw016,[BBB/TTT/Q1] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/BBB/TTT/Q1/spindle-sp_03
bbb017.hw017,[BBB/TTT/Q1] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/BBB/TTT/Q1/prox-01
bbb018.hw018,[BBB/TTT/Q1] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/BBB/TTT/Q1/prox-02
bbb019.hw019,[BBB/TTT/Q1] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/BBB/TTT/Q1/prox-03
bbb020.hw020,[BBB/TTT/Q1] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/BBB/TTT/Q1/prox-04
bbb021.hw021,[BBB/TTT/Q1] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/BBB/TTT/Q1/prox-05
bbb022.hw022,[BBB/TTT/Q1] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/BBB/TTT/Q1/prox-06
bbb023.hw023,[BBB/TTT/Q1] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/BBB/TTT/Q1/prox-07
bbb024.hw024,[BBB/TTT/Q1] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/BBB/TTT/Q1/prox-08
bbb025.hw025,[BBB/TTT/Q1] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/BBB/TTT/Q1/enc-01
bbb026.hw026,[BBB/TTT/Q1] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/BBB/TTT/Q1/enc-02
bbb027.hw027,[BBB/TTT/Q1] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/BBB/TTT/Q1/enc-03
bbb028.hw028,[BBB/TTT/Q1] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/BBB/TTT/Q1/enc-04
bbb029.hw029,[BBB/TTT/Q1] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/BBB/TTT/Q1/temp-chamber
bbb030.hw030,[BBB/TTT/Q1] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/BBB/TTT/Q1/temp-stage
bbb031.hw031,[BBB/TTT/Q1] Temperature LAMP Monitor,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/BBB/TTT/Q1/temp-lamp
