name,title,link
ccc.saall01,[CCC/SSS/all] Cross-machine Safety Interlock Reference,https://example.com/proc/CCC/SSS/all/01
ccc.saall02,[CCC/SSS/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/CCC/SSS/all/02
ccc.saall03,[CCC/SSS/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/CCC/SSS/all/03
ccc.saall04,[CCC/SSS/all] Global Parameter Export and Import Guide,https://example.com/proc/CCC/SSS/all/04
ccc.saall05,[CCC/SSS/all] Unified Alarm Code Master List,https://example.com/proc/CCC/SSS/all/05
ccc.saall06,[CCC/SSS/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/CCC/SSS/all/06
ccc.saall07,[CCC/SSS/all] Standard Naming Convention for Procedures,https://example.com/proc/CCC/SSS/all/07
ccc.saall08,[CCC/SSS/all] Part Release Notes and Change Log Index,https://example.com/proc/CCC/SSS/all/08
ccc.saall09,[CCC/SSS/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/CCC/SSS/all/09
ccc.saall10,[CCC/SSS/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/CCC/SSS/all/10
ccc.saall11,[CCC/SSS/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/CCC/SSS/all/11
ccc.saall12,[CCC/SSS/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/CCC/SSS/all/12
ccc.saall13,[CCC/SSS/all] Legacy migration checklist (deprecated paths),https://example.com/proc/CCC/SSS/all/13
ccc.saall14,[CCC/SSS/all] Quarterly audit template for all machines,https://example.com/proc/CCC/SSS/all/14
ccc.saall15,[CCC/SSS/all] Shared spare-parts and consumables index,https://example.com/proc/CCC/SSS/all/15
