name,title,link
ccc.taall01,[CCC/TTT/all] Cross-machine Safety Interlock Reference,https://example.com/proc/CCC/TTT/all/01
ccc.taall02,[CCC/TTT/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/CCC/TTT/all/02
ccc.taall03,[CCC/TTT/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/CCC/TTT/all/03
ccc.taall04,[CCC/TTT/all] Global Parameter Export and Import Guide,https://example.com/proc/CCC/TTT/all/04
ccc.taall05,[CCC/TTT/all] Unified Alarm Code Master List,https://example.com/proc/CCC/TTT/all/05
ccc.taall06,[CCC/TTT/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/CCC/TTT/all/06
ccc.taall07,[CCC/TTT/all] Standard Naming Convention for Procedures,https://example.com/proc/CCC/TTT/all/07
ccc.taall08,[CCC/TTT/all] Part Release Notes and Change Log Index,https://example.com/proc/CCC/TTT/all/08
ccc.taall09,[CCC/TTT/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/CCC/TTT/all/09
ccc.taall10,[CCC/TTT/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/CCC/TTT/all/10
