name,title,tag,link
ccc001.hw001,[CCC/SSS/Z3] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/CCC/SSS/Z3/homing-axis_x
ccc002.hw002,[CCC/SSS/Z3] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/CCC/SSS/Z3/jog-axis_x
ccc003.hw003,[CCC/SSS/Z3] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/CCC/SSS/Z3/homing-axis_y
ccc004.hw004,[CCC/SSS/Z3] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/CCC/SSS/Z3/jog-axis_y
ccc005.hw005,[CCC/SSS/Z3] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/CCC/SSS/Z3/homing-axis_z
ccc006.hw006,[CCC/SSS/Z3] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/CCC/SSS/Z3/jog-axis_z
ccc007.hw007,[CCC/SSS/Z3] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/CCC/SSS/Z3/homing-axis_r
ccc008.hw008,[CCC/SSS/Z3] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/CCC/SSS/Z3/jog-axis_r
ccc009.hw009,[CCC/SSS/Z3] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/CCC/SSS/Z3/homing-axis_t
ccc010.hw010,[CCC/SSS/Z3] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/CCC/SSS/Z3/jog-axis_t
ccc011.hw011,[CCC/SSS/Z3] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/CCC/SSS/Z3/stepper-feed_a
ccc012.hw012,[CCC/SSS/Z3] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/CCC/SSS/Z3/stepper-feed_b
ccc013.hw013,[CCC/SSS/Z3] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/CCC/SSS/Z3/stepper-feed_c
ccc014.hw014,[CCC/SSS/Z3] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/CCC/SSS/Z3/spindle-sp_01
ccc015.hw015,[CCC/SSS/Z3] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/CCC/SSS/Z3/spindle-sp_02
