name,title,tag,link
ccc001.hw001,[CCC/TTT/Q1] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/CCC/TTT/Q1/homing-axis_x
ccc002.hw002,[CCC/TTT/Q1] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/CCC/TTT/Q1/jog-axis_x
ccc003.hw003,[CCC/TTT/Q1] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/CCC/TTT/Q1/homing-axis_y
ccc004.hw004,[CCC/TTT/Q1] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/CCC/TTT/Q1/jog-axis_y
ccc005.hw005,[CCC/TTT/Q1] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/CCC/TTT/Q1/homing-axis_z
ccc006.hw006,[CCC/TTT/Q1] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/CCC/TTT/Q1/jog-axis_z
ccc007.hw007,[CCC/TTT/Q1] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/CCC/TTT/Q1/homing-axis_r
ccc008.hw008,[CCC/TTT/Q1] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/CCC/TTT/Q1/jog-axis_r
ccc009.hw009,[CCC/TTT/Q1] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/CCC/TTT/Q1/homing-axis_t
ccc010.hw010,[CCC/TTT/Q1] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/CCC/TTT/Q1/jog-axis_t
ccc011.hw011,[CCC/TTT/Q1] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/CCC/TTT/Q1/stepper-feed_a
ccc012.hw012,[CCC/TTT/Q1] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/CCC/TTT/Q1/stepper-feed_b
ccc013.hw013,[CCC/TTT/Q1] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/CCC/TTT/Q1/stepper-feed_c
ccc014.hw014,[CCC/TTT/Q1] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/CCC/TTT/Q1/spindle-sp_01
ccc015.hw015,[CCC/TTT/Q1] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/CCC/TTT/Q1/spindle-sp_02
ccc016.hw016,[CCC/TTT/Q1] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/CCC/TTT/Q1/spindle-sp_03
ccc017.hw017,[CCC/TTT/Q1] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/CCC/TTT/Q1/prox-01
ccc018.hw018,[CCC/TTT/Q1] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/CCC/TTT/Q1/prox-02
ccc019.hw019,[CCC/TTT/Q1] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/CCC/TTT/Q1/prox-03
ccc020.hw020,[CCC/TTT/Q1] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/CCC/TTT/Q1/prox-04
ccc021.hw021,[CCC/TTT/Q1] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/CCC/TTT/Q1/prox-05
ccc022.hw022,[CCC/TTT/Q1] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/CCC/TTT/Q1/prox-06
ccc023.hw023,[CCC/TTT/Q1] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/CCC/TTT/Q1/prox-07
ccc024.hw024,[CCC/TTT/Q1] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/CCC/TTT/Q1/prox-08
ccc025.hw025,[CCC/TTT/Q1] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/CCC/TTT/Q1/enc-01
ccc026.hw026,[CCC/TTT/Q1] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/CCC/TTT/Q1/enc-02
ccc027.hw027,[CCC/TTT/Q1] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/CCC/TTT/Q1/enc-03
ccc028.hw028,[CCC/TTT/Q1] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/CCC/TTT/Q1/enc-04
ccc029.hw029,[CCC/TTT/Q1] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/CCC/TTT/Q1/temp-chamber
ccc030.hw030,[CCC/TTT/Q1] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/CCC/TTT/Q1/temp-stage
ccc031.hw031,[CCC/TTT/Q1] Temperature LAMP Monitor,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/CCC/TTT/Q1/temp-lamp
ccc032.hw032,[CCC/TTT/Q1] Temperature EXHAUST Monitor— full sequence with safety interlock verification and post-run validation,SENSOR; TEMPERATURE; EXHAUST,https://example.com/proc/CCC/TTT/Q1/temp-exhaust
ccc033.hw033,[CCC/TTT/Q1] IO Port 01 Configuration,IO; PORT_01,https://example.com/proc/CCC/TTT/Q1/io-p01
ccc034.hw034,[CCC/TTT/Q1] IO Port 02 Configuration,IO; PORT_02,https://example.com/proc/CCC/TTT/Q1/io-p02
ccc035.hw035,[CCC/TTT/Q1] IO Port 03 Configuration,IO; PORT_03,https://example.com/proc/CCC/TTT/Q1/io-p03
ccc036.hw036,[CCC/TTT/Q1] IO Port 04 Configuration,IO; PORT_04,https://example.com/proc/CCC/TTT/Q1/io-p04
ccc037.hw037,[CCC/TTT/Q1] IO Port 05 Configuration,IO; PORT_05,https://example.com/proc/CCC/TTT/Q1/io-p05
ccc038.hw038,[CCC/TTT/Q1] IO Port 06 Configuration,IO; PORT_06,https://example.com/proc/CCC/TTT/Q1/io-p06
ccc039.hw039,[CCC/TTT/Q1] IO Port 07 Configuration,IO; PORT_07,https://example.com/proc/CCC/TTT/Q1/io-p07
ccc040.hw040,[CCC/TTT/Q1] IO Port 08 Configuration,IO; PORT_08,https://example.com/proc/CCC/TTT/Q1/io-p08
ccc041.hw041,[CCC/TTT/Q1] IO Port 09 Configuration,IO; PORT_09,https://example.com/proc/CCC/TTT/Q1/io-p09
ccc042.hw042,[CCC/TTT/Q1] IO Port 10 Configuration,IO; PORT_10,https://example.com/proc/CCC/TTT/Q1/io-p10
ccc043.hw043,[CCC/TTT/Q1] IO Port 11 Configuration,IO; PORT_11,https://example.com/proc/CCC/TTT/Q1/io-p11
ccc044.hw044,[CCC/TTT/Q1] IO Port 12 Configuration,IO; PORT_12,https://example.com/proc/CCC/TTT/Q1/io-p12
ccc045.hw045,[CCC/TTT/Q1] IO Port 13 Configuration,IO; PORT_13,https://example.com/proc/CCC/TTT/Q1/io-p13
ccc046.hw046,[CCC/TTT/Q1] IO Port 14 Configuration,IO; PORT_14,https://example.com/proc/CCC/TTT/Q1/io-p14
ccc047.hw047,[CCC/TTT/Q1] IO Port 15 Configuration,IO; PORT_15,https://example.com/proc/CCC/TTT/Q1/io-p15
ccc048.hw048,[CCC/TTT/Q1] IO Port 16 Configuration,IO; PORT_16,https://example.com/proc/CCC/TTT/Q1/io-p16
ccc049.hw049,[CCC/TTT/Q1] Laser ALIGN Calibration,OPTICS; LASER; ALIGN,https://example.com/proc/CCC/TTT/Q1/laser-align
ccc050.hw050,[CCC/TTT/Q1] Laser POWER Calibration,OPTICS; LASER; POWER,https://example.com/proc/CCC/TTT/Q1/laser-power
ccc051.hw051,[CCC/TTT/Q1] Laser PULSE Calibration,OPTICS; LASER; PULSE,https://example.com/proc/CCC/TTT/Q1/laser-pulse
ccc052.hw052,[CCC/TTT/Q1] Laser WAVELENGTH Calibration— full sequence with safety interlock verification and post-run validation,OPTICS; LASER; WAVELENGTH,https://example.com/proc/CCC/TTT/Q1/laser-wavelength
ccc053.hw053,[CCC/TTT/Q1] Camera TOP Focus,OPTICS; CAMERA; TOP,https://example.com/proc/CCC/TTT/Q1/cam-top
ccc054.hw054,[CCC/TTT/Q1] Camera SIDE Focus,OPTICS; CAMERA; SIDE,https://example.com/proc/CCC/TTT/Q1/cam-side
ccc055.hw055,[CCC/TTT/Q1] Camera BOTTOM Focus,OPTICS; CAMERA; BOTTOM,https://example.com/proc/CCC/TTT/Q1/cam-bottom
ccc056.hw056,[CCC/TTT/Q1] Camera MACRO Focus,OPTICS; CAMERA; MACRO,https://example.com/proc/CCC/TTT/Q1/cam-macro
ccc057.hw057,[CCC/TTT/Q1] Conveyor Belt IN Sync,CONVEYOR; BELT_IN,https://example.com/proc/CCC/TTT/Q1/belt-in
ccc058.hw058,[CCC/TTT/Q1] Conveyor Belt OUT Sync,CONVEYOR; BELT_OUT,https://example.com/proc/CCC/TTT/Q1/belt-out
ccc059.hw059,[CCC/TTT/Q1] Conveyor Belt BUFFER Sync,CONVEYOR; BELT_BUFFER,https://example.com/proc/CCC/TTT/Q1/belt-buffer
ccc060.hw060,[CCC/TTT/Q1] Conveyor Belt REJECT Sync,CONVEYOR; BELT_REJECT,https://example.com/proc/CCC/TTT/Q1/belt-reject
ccc061.hw061,[CCC/TTT/Q1] Robot Joint J1 Teach,ROBOT; J1,https://example.com/proc/CCC/TTT/Q1/robot-j1
ccc062.hw062,[CCC/TTT/Q1] Robot Joint J2 Teach,ROBOT; J2,https://example.com/proc/CCC/TTT/Q1/robot-j2
ccc063.hw063,[CCC/TTT/Q1] Robot Joint J3 Teach,ROBOT; J3,https://example.com/proc/CCC/TTT/Q1/robot-j3
ccc064.hw064,[CCC/TTT/Q1] Robot Joint J4 Teach— full sequence with safety interlock verification and post-run validation,ROBOT; J4,https://example.com/proc/CCC/TTT/Q1/robot-j4
ccc065.hw065,[CCC/TTT/Q1] Robot Joint J5 Teach,ROBOT; J5,https://example.com/proc/CCC/TTT/Q1/robot-j5
ccc066.hw066,[CCC/TTT/Q1] Robot Joint J6 Teach,ROBOT; J6,https://example.com/proc/CCC/TTT/Q1/robot-j6
ccc067.hw067,[CCC/TTT/Q1] Valve VLV_01 Cycle Test,VALVE; VLV_01,https://example.com/proc/CCC/TTT/Q1/vlv-01
ccc068.hw068,[CCC/TTT/Q1] Valve VLV_02 Cycle Test,VALVE; VLV_02,https://example.com/proc/CCC/TTT/Q1/vlv-02
ccc069.hw069,[CCC/TTT/Q1] Valve VLV_03 Cycle Test,VALVE; VLV_03,https://example.com/proc/CCC/TTT/Q1/vlv-03
ccc070.hw070,[CCC/TTT/Q1] Valve VLV_04 Cycle Test,VALVE; VLV_04,https://example.com/proc/CCC/TTT/Q1/vlv-04
ccc071.hw071,[CCC/TTT/Q1] Valve VLV_05 Cycle Test,VALVE; VLV_05,https://example.com/proc/CCC/TTT/Q1/vlv-05
ccc072.hw072,[CCC/TTT/Q1] Valve VLV_06 Cycle Test,VALVE; VLV_06,https://example.com/proc/CCC/TTT/Q1/vlv-06
ccc073.hw073,[CCC/TTT/Q1] Valve VLV_07 Cycle Test,VALVE; VLV_07,https://example.com/proc/CCC/TTT/Q1/vlv-07
ccc074.hw074,[CCC/TTT/Q1] Valve VLV_08 Cycle Test,VALVE; VLV_08,https://example.com/proc/CCC/TTT/Q1/vlv-08
ccc075.hw075,[CCC/TTT/Q1] Valve VLV_09 Cycle Test,VALVE; VLV_09,https://example.com/proc/CCC/TTT/Q1/vlv-09
ccc076.hw076,[CCC/TTT/Q1] Valve VLV_10 Cycle Test,VALVE; VLV_10,https://example.com/proc/CCC/TTT/Q1/vlv-10
ccc077.hw077,[CCC/TTT/Q1] Valve VLV_11 Cycle Test,VALVE; VLV_11,https://example.com/proc/CCC/TTT/Q1/vlv-11
ccc078.hw078,[CCC/TTT/Q1] Valve VLV_12 Cycle Test,VALVE; VLV_12,https://example.com/proc/CCC/TTT/Q1/vlv-12
ccc079.hw079,[CCC/TTT/Q1] Full Motor Diagnostic Sweep,MOTOR; SERVO; AXIS_X; AXIS_Y,https://example.com/proc/CCC/TTT/Q1/motor-sweep
ccc080.hw080,[CCC/TTT/Q1] Sensor Array Health Check— full sequence with safety interlock verification and post-run validation,SENSOR; PROXIMITY; ENCODER,https://example.com/proc/CCC/TTT/Q1/sensor-health
ccc081.ot101,"[CCC/TTT/Q1] Calibration DAILY— extended procedure including pre-check, main operation, and recovery steps",MAINTENANCE; CALIBRATION; DAILY,https://example.com/proc/CCC/TTT/Q1/cal-daily
ccc082.ot102,[CCC/TTT/Q1] Calibration WEEKLY— operator guide with parameter reference and troubleshooting appendix,MAINTENANCE; CALIBRATION; WEEKLY,https://example.com/proc/CCC/TTT/Q1/cal-weekly
ccc083.ot103,[CCC/TTT/Q1] Calibration MONTHLY— detailed workflow for production environment with sign-off requirements,MAINTENANCE; CALIBRATION; MONTHLY,https://example.com/proc/CCC/TTT/Q1/cal-monthly
ccc084.ot104,[CCC/TTT/Q1] Calibration QUARTERLY— full sequence with safety interlock verification and post-run validation,MAINTENANCE; CALIBRATION; QUARTERLY,https://example.com/proc/CCC/TTT/Q1/cal-quarterly
ccc085.ot105,"[CCC/TTT/Q1] Calibration ANNUAL— extended procedure including pre-check, main operation, and recovery steps",MAINTENANCE; CALIBRATION; ANNUAL,https://example.com/proc/CCC/TTT/Q1/cal-annual
ccc086.ot106,[CCC/TTT/Q1] Clean FILTER,MAINTENANCE; CLEAN; FILTER,https://example.com/proc/CCC/TTT/Q1/clean-filter
ccc087.ot107,[CCC/TTT/Q1] Clean CHUCK,MAINTENANCE; CLEAN; CHUCK,https://example.com/proc/CCC/TTT/Q1/clean-chuck
ccc088.ot108,[CCC/TTT/Q1] Clean WINDOW,MAINTENANCE; CLEAN; WINDOW,https://example.com/proc/CCC/TTT/Q1/clean-window
