name,title,tag,link
ddd001.hw001,[DDD/SSS/Z4] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/DDD/SSS/Z4/homing-axis_x
ddd002.hw002,[DDD/SSS/Z4] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/DDD/SSS/Z4/jog-axis_x
ddd003.hw003,[DDD/SSS/Z4] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/DDD/SSS/Z4/homing-axis_y
ddd004.hw004,[DDD/SSS/Z4] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/DDD/SSS/Z4/jog-axis_y
ddd005.hw005,[DDD/SSS/Z4] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/DDD/SSS/Z4/homing-axis_z
ddd006.hw006,[DDD/SSS/Z4] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/DDD/SSS/Z4/jog-axis_z
ddd007.hw007,[DDD/SSS/Z4] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/DDD/SSS/Z4/homing-axis_r
ddd008.hw008,[DDD/SSS/Z4] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/DDD/SSS/Z4/jog-axis_r
ddd009.hw009,[DDD/SSS/Z4] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/DDD/SSS/Z4/homing-axis_t
ddd010.hw010,[DDD/SSS/Z4] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/DDD/SSS/Z4/jog-axis_t
ddd011.hw011,[DDD/SSS/Z4] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/DDD/SSS/Z4/stepper-feed_a
ddd012.hw012,[DDD/SSS/Z4] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/DDD/SSS/Z4/stepper-feed_b
ddd013.hw013,[DDD/SSS/Z4] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/DDD/SSS/Z4/stepper-feed_c
ddd014.hw014,[DDD/SSS/Z4] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/DDD/SSS/Z4/spindle-sp_01
ddd015.hw015,[DDD/SSS/Z4] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/DDD/SSS/Z4/spindle-sp_02
ddd016.hw016,[DDD/SSS/Z4] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/DDD/SSS/Z4/spindle-sp_03
ddd017.hw017,[DDD/SSS/Z4] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/DDD/SSS/Z4/prox-01
ddd018.hw018,[DDD/SSS/Z4] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/DDD/SSS/Z4/prox-02
