name,title,link
ddd.saall01,[DDD/SSS/all] Cross-machine Safety Interlock Reference,https://example.com/proc/DDD/SSS/all/01
ddd.saall02,[DDD/SSS/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/DDD/SSS/all/02
ddd.saall03,[DDD/SSS/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/DDD/SSS/all/03
ddd.saall04,[DDD/SSS/all] Global Parameter Export and Import Guide,https://example.com/proc/DDD/SSS/all/04
ddd.saall05,[DDD/SSS/all] Unified Alarm Code Master List,https://example.com/proc/DDD/SSS/all/05
ddd.saall06,[DDD/SSS/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/DDD/SSS/all/06
ddd.saall07,[DDD/SSS/all] Standard Naming Convention for Procedures,https://example.com/proc/DDD/SSS/all/07
ddd.saall08,[DDD/SSS/all] Part Release Notes and Change Log Index,https://example.com/proc/DDD/SSS/all/08
ddd.saall09,[DDD/SSS/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/DDD/SSS/all/09
ddd.saall10,[DDD/SSS/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/DDD/SSS/all/10
ddd.saall11,[DDD/SSS/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/DDD/SSS/all/11
ddd.saall12,[DDD/SSS/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/DDD/SSS/all/12
ddd.saall13,[DDD/SSS/all] Legacy migration checklist (deprecated paths),https://example.com/proc/DDD/SSS/all/13
ddd.saall14,[DDD/SSS/all] Quarterly audit template for all machines,https://example.com/proc/DDD/SSS/all/14
ddd.saall15,[DDD/SSS/all] Shared spare-parts and consumables index,https://example.com/proc/DDD/SSS/all/15
