name,title,link
ddd.taall01,[DDD/TTT/all] Cross-machine Safety Interlock Reference,https://example.com/proc/DDD/TTT/all/01
ddd.taall02,[DDD/TTT/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/DDD/TTT/all/02
ddd.taall03,[DDD/TTT/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/DDD/TTT/all/03
ddd.taall04,[DDD/TTT/all] Global Parameter Export and Import Guide,https://example.com/proc/DDD/TTT/all/04
ddd.taall05,[DDD/TTT/all] Unified Alarm Code Master List,https://example.com/proc/DDD/TTT/all/05
ddd.taall06,[DDD/TTT/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/DDD/TTT/all/06
ddd.taall07,[DDD/TTT/all] Standard Naming Convention for Procedures,https://example.com/proc/DDD/TTT/all/07
ddd.taall08,[DDD/TTT/all] Part Release Notes and Change Log Index,https://example.com/proc/DDD/TTT/all/08
ddd.taall09,[DDD/TTT/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/DDD/TTT/all/09
ddd.taall10,[DDD/TTT/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/DDD/TTT/all/10
ddd.taall11,[DDD/TTT/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/DDD/TTT/all/11
ddd.taall12,[DDD/TTT/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/DDD/TTT/all/12
ddd.taall13,[DDD/TTT/all] Legacy migration checklist (deprecated paths),https://example.com/proc/DDD/TTT/all/13
ddd.taall14,[DDD/TTT/all] Quarterly audit template for all machines,https://example.com/proc/DDD/TTT/all/14
ddd.taall15,[DDD/TTT/all] Shared spare-parts and consumables index,https://example.com/proc/DDD/TTT/all/15
