name,title,link
ddd.uaall01,[DDD/UUU/all] Cross-machine Safety Interlock Reference,https://example.com/proc/DDD/UUU/all/01
ddd.uaall02,[DDD/UUU/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/DDD/UUU/all/02
ddd.uaall03,[DDD/UUU/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/DDD/UUU/all/03
ddd.uaall04,[DDD/UUU/all] Global Parameter Export and Import Guide,https://example.com/proc/DDD/UUU/all/04
ddd.uaall05,[DDD/UUU/all] Unified Alarm Code Master List,https://example.com/proc/DDD/UUU/all/05
ddd.uaall06,[DDD/UUU/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/DDD/UUU/all/06
ddd.uaall07,[DDD/UUU/all] Standard Naming Convention for Procedures,https://example.com/proc/DDD/UUU/all/07
ddd.uaall08,[DDD/UUU/all] Part Release Notes and Change Log Index,https://example.com/proc/DDD/UUU/all/08
ddd.uaall09,[DDD/UUU/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/DDD/UUU/all/09
ddd.uaall10,[DDD/UUU/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/DDD/UUU/all/10
ddd.uaall11,[DDD/UUU/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/DDD/UUU/all/11
ddd.uaall12,[DDD/UUU/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/DDD/UUU/all/12
ddd.uaall13,[DDD/UUU/all] Legacy migration checklist (deprecated paths),https://example.com/proc/DDD/UUU/all/13
ddd.uaall14,[DDD/UUU/all] Quarterly audit template for all machines,https://example.com/proc/DDD/UUU/all/14
ddd.uaall15,[DDD/UUU/all] Shared spare-parts and consumables index,https://example.com/proc/DDD/UUU/all/15
