name,title,tag,link
ddd001.hw001,[DDD/SSS/Z1] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/DDD/SSS/Z1/homing-axis_x
ddd002.hw002,[DDD/SSS/Z1] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/DDD/SSS/Z1/jog-axis_x
ddd003.hw003,[DDD/SSS/Z1] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/DDD/SSS/Z1/homing-axis_y
ddd004.hw004,[DDD/SSS/Z1] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/DDD/SSS/Z1/jog-axis_y
ddd005.hw005,[DDD/SSS/Z1] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/DDD/SSS/Z1/homing-axis_z
ddd006.hw006,[DDD/SSS/Z1] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/DDD/SSS/Z1/jog-axis_z
ddd007.hw007,[DDD/SSS/Z1] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/DDD/SSS/Z1/homing-axis_r
ddd008.hw008,[DDD/SSS/Z1] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/DDD/SSS/Z1/jog-axis_r
ddd009.hw009,[DDD/SSS/Z1] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/DDD/SSS/Z1/homing-axis_t
ddd010.hw010,[DDD/SSS/Z1] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/DDD/SSS/Z1/jog-axis_t
ddd011.hw011,[DDD/SSS/Z1] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/DDD/SSS/Z1/stepper-feed_a
ddd012.hw012,[DDD/SSS/Z1] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/DDD/SSS/Z1/stepper-feed_b
ddd013.hw013,[DDD/SSS/Z1] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/DDD/SSS/Z1/stepper-feed_c
ddd014.hw014,[DDD/SSS/Z1] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/DDD/SSS/Z1/spindle-sp_01
ddd015.hw015,[DDD/SSS/Z1] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/DDD/SSS/Z1/spindle-sp_02
ddd016.hw016,[DDD/SSS/Z1] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/DDD/SSS/Z1/spindle-sp_03
ddd017.hw017,[DDD/SSS/Z1] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/DDD/SSS/Z1/prox-01
ddd018.hw018,[DDD/SSS/Z1] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/DDD/SSS/Z1/prox-02
ddd019.hw019,[DDD/SSS/Z1] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/DDD/SSS/Z1/prox-03
ddd020.hw020,[DDD/SSS/Z1] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/DDD/SSS/Z1/prox-04
ddd021.hw021,[DDD/SSS/Z1] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/DDD/SSS/Z1/prox-05
ddd022.hw022,[DDD/SSS/Z1] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/DDD/SSS/Z1/prox-06
ddd023.hw023,[DDD/SSS/Z1] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/DDD/SSS/Z1/prox-07
ddd024.hw024,[DDD/SSS/Z1] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/DDD/SSS/Z1/prox-08
ddd025.hw025,[DDD/SSS/Z1] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/DDD/SSS/Z1/enc-01
ddd026.hw026,[DDD/SSS/Z1] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/DDD/SSS/Z1/enc-02
ddd027.hw027,[DDD/SSS/Z1] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/DDD/SSS/Z1/enc-03
ddd028.hw028,[DDD/SSS/Z1] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/DDD/SSS/Z1/enc-04
ddd029.hw029,[DDD/SSS/Z1] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/DDD/SSS/Z1/temp-chamber
ddd030.hw030,[DDD/SSS/Z1] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/DDD/SSS/Z1/temp-stage
ddd031.hw031,[DDD/SSS/Z1] Temperature LAMP Monitor,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/DDD/SSS/Z1/temp-lamp
ddd032.hw032,[DDD/SSS/Z1] Temperature EXHAUST Monitor— full sequence with safety interlock verification and post-run validation,SENSOR; TEMPERATURE; EXHAUST,https://example.com/proc/DDD/SSS/Z1/temp-exhaust
