name,title,tag,link
eee001.hw001,[EEE/SSS/Z2] Fab bay tool module subsys check,FAB; BAY; TOOL; MODULE; SUBSYS; COMPONENT,https://example.com/proc/EEE/SSS/Z2/fab-deep
eee002.hw002,[EEE/SSS/Z2] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/SSS/Z2/homing-axis_x
eee003.hw003,[EEE/SSS/Z2] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/SSS/Z2/jog-axis_x
eee004.hw004,[EEE/SSS/Z2] Servo AXIS_Y Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/SSS/Z2/homing-axis_y
eee005.hw005,[EEE/SSS/Z2] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/SSS/Z2/jog-axis_y
eee006.hw006,[EEE/SSS/Z2] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/SSS/Z2/homing-axis_z
eee007.hw007,[EEE/SSS/Z2] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/SSS/Z2/jog-axis_z
eee008.hw008,[EEE/SSS/Z2] Servo AXIS_R Homing — full sequence with safety interlock verification and post-run validation,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/SSS/Z2/homing-axis_r
eee009.hw009,[EEE/SSS/Z2] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/SSS/Z2/jog-axis_r
eee010.hw010,[EEE/SSS/Z2] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/SSS/Z2/homing-axis_t
eee011.hw011,[EEE/SSS/Z2] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/SSS/Z2/jog-axis_t
eee012.hw012,[EEE/SSS/Z2] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/EEE/SSS/Z2/stepper-feed_a
eee013.hw013,[EEE/SSS/Z2] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/EEE/SSS/Z2/stepper-feed_b
eee014.hw014,[EEE/SSS/Z2] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/EEE/SSS/Z2/stepper-feed_c
eee015.hw015,[EEE/SSS/Z2] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/EEE/SSS/Z2/spindle-sp_01
eee016.hw016,[EEE/SSS/Z2] Spindle SP_02 Speed Tune — full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_02,https://example.com/proc/EEE/SSS/Z2/spindle-sp_02
eee017.hw017,[EEE/SSS/Z2] Spindle SP_03 Speed Tune,MOTOR; SPINDLE; SP_03,https://example.com/proc/EEE/SSS/Z2/spindle-sp_03
eee018.hw018,[EEE/SSS/Z2] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/EEE/SSS/Z2/prox-01
eee019.hw019,[EEE/SSS/Z2] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/EEE/SSS/Z2/prox-02
eee020.hw020,[EEE/SSS/Z2] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/EEE/SSS/Z2/prox-03
eee021.hw021,[EEE/SSS/Z2] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/EEE/SSS/Z2/prox-04
eee022.hw022,[EEE/SSS/Z2] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/EEE/SSS/Z2/prox-05
eee023.hw023,[EEE/SSS/Z2] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/EEE/SSS/Z2/prox-06
eee024.hw024,[EEE/SSS/Z2] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/EEE/SSS/Z2/prox-07
eee025.hw025,[EEE/SSS/Z2] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/EEE/SSS/Z2/prox-08
eee026.hw026,[EEE/SSS/Z2] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/EEE/SSS/Z2/enc-01
eee027.hw027,[EEE/SSS/Z2] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/EEE/SSS/Z2/enc-02
eee028.hw028,[EEE/SSS/Z2] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/EEE/SSS/Z2/enc-03
eee029.hw029,[EEE/SSS/Z2] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/EEE/SSS/Z2/enc-04
eee030.hw030,[EEE/SSS/Z2] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/EEE/SSS/Z2/temp-chamber
eee031.hw031,[EEE/SSS/Z2] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/EEE/SSS/Z2/temp-stage
eee032.hw032,[EEE/SSS/Z2] Temperature LAMP Monitor — full sequence with safety interlock verification and post-run validation,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/EEE/SSS/Z2/temp-lamp
eee033.hw033,[EEE/SSS/Z2] Temperature EXHAUST Monitor,SENSOR; TEMPERATURE; EXHAUST,https://example.com/proc/EEE/SSS/Z2/temp-exhaust
eee034.hw034,[EEE/SSS/Z2] IO Port 01 Configuration,IO; PORT_01,https://example.com/proc/EEE/SSS/Z2/io-p01
eee035.hw035,[EEE/SSS/Z2] IO Port 02 Configuration,IO; PORT_02,https://example.com/proc/EEE/SSS/Z2/io-p02
eee036.hw036,[EEE/SSS/Z2] IO Port 03 Configuration,IO; PORT_03,https://example.com/proc/EEE/SSS/Z2/io-p03
eee037.hw037,[EEE/SSS/Z2] IO Port 04 Configuration,IO; PORT_04,https://example.com/proc/EEE/SSS/Z2/io-p04
eee038.hw038,[EEE/SSS/Z2] IO Port 05 Configuration,IO; PORT_05,https://example.com/proc/EEE/SSS/Z2/io-p05
eee039.hw039,[EEE/SSS/Z2] IO Port 06 Configuration,IO; PORT_06,https://example.com/proc/EEE/SSS/Z2/io-p06
eee040.hw040,[EEE/SSS/Z2] IO Port 07 Configuration,IO; PORT_07,https://example.com/proc/EEE/SSS/Z2/io-p07
eee041.hw041,[EEE/SSS/Z2] IO Port 08 Configuration,IO; PORT_08,https://example.com/proc/EEE/SSS/Z2/io-p08
eee042.hw042,[EEE/SSS/Z2] IO Port 09 Configuration,IO; PORT_09,https://example.com/proc/EEE/SSS/Z2/io-p09
eee043.hw043,[EEE/SSS/Z2] IO Port 10 Configuration,IO; PORT_10,https://example.com/proc/EEE/SSS/Z2/io-p10
eee044.hw044,[EEE/SSS/Z2] IO Port 11 Configuration,IO; PORT_11,https://example.com/proc/EEE/SSS/Z2/io-p11
eee045.hw045,[EEE/SSS/Z2] IO Port 12 Configuration,IO; PORT_12,https://example.com/proc/EEE/SSS/Z2/io-p12
eee046.hw046,[EEE/SSS/Z2] IO Port 13 Configuration,IO; PORT_13,https://example.com/proc/EEE/SSS/Z2/io-p13
eee047.hw047,[EEE/SSS/Z2] IO Port 14 Configuration,IO; PORT_14,https://example.com/proc/EEE/SSS/Z2/io-p14
eee048.hw048,[EEE/SSS/Z2] IO Port 15 Configuration,IO; PORT_15,https://example.com/proc/EEE/SSS/Z2/io-p15
eee049.hw049,[EEE/SSS/Z2] IO Port 16 Configuration,IO; PORT_16,https://example.com/proc/EEE/SSS/Z2/io-p16
eee050.hw050,[EEE/SSS/Z2] Laser ALIGN Calibration,OPTICS; LASER; ALIGN,https://example.com/proc/EEE/SSS/Z2/laser-align
eee051.hw051,[EEE/SSS/Z2] Laser POWER Calibration,OPTICS; LASER; POWER,https://example.com/proc/EEE/SSS/Z2/laser-power
eee052.hw052,[EEE/SSS/Z2] Laser PULSE Calibration — full sequence with safety interlock verification and post-run validation,OPTICS; LASER; PULSE,https://example.com/proc/EEE/SSS/Z2/laser-pulse
eee053.hw053,[EEE/SSS/Z2] Laser WAVELENGTH Calibration,OPTICS; LASER; WAVELENGTH,https://example.com/proc/EEE/SSS/Z2/laser-wavelength
eee054.hw054,[EEE/SSS/Z2] Camera TOP Focus,OPTICS; CAMERA; TOP,https://example.com/proc/EEE/SSS/Z2/cam-top
eee055.hw055,[EEE/SSS/Z2] Camera SIDE Focus,OPTICS; CAMERA; SIDE,https://example.com/proc/EEE/SSS/Z2/cam-side
eee056.hw056,[EEE/SSS/Z2] Camera BOTTOM Focus,OPTICS; CAMERA; BOTTOM,https://example.com/proc/EEE/SSS/Z2/cam-bottom
eee057.hw057,[EEE/SSS/Z2] Camera MACRO Focus,OPTICS; CAMERA; MACRO,https://example.com/proc/EEE/SSS/Z2/cam-macro
eee058.hw058,[EEE/SSS/Z2] Vacuum Pump ROUGH Start,VACUUM; PUMP; ROUGH,https://example.com/proc/EEE/SSS/Z2/vac-rough
eee059.hw059,[EEE/SSS/Z2] Vacuum Pump TURBO Start,VACUUM; PUMP; TURBO,https://example.com/proc/EEE/SSS/Z2/vac-turbo
eee060.hw060,[EEE/SSS/Z2] Vacuum Pump BACKING Start,VACUUM; PUMP; BACKING,https://example.com/proc/EEE/SSS/Z2/vac-backing
eee061.hw061,[EEE/SSS/Z2] Gas Mass Flow AR Setup,GAS; MASS_AR,https://example.com/proc/EEE/SSS/Z2/gas-ar
eee062.hw062,[EEE/SSS/Z2] Gas Mass Flow N2 Setup,GAS; MASS_N2,https://example.com/proc/EEE/SSS/Z2/gas-n2
eee063.hw063,[EEE/SSS/Z2] Gas Mass Flow O2 Setup,GAS; MASS_O2,https://example.com/proc/EEE/SSS/Z2/gas-o2
eee064.hw064,[EEE/SSS/Z2] Gas Mass Flow HE Setup — full sequence with safety interlock verification and post-run validation,GAS; MASS_HE,https://example.com/proc/EEE/SSS/Z2/gas-he
eee065.hw065,[EEE/SSS/Z2] Gas Mass Flow CF4 Setup,GAS; MASS_CF4,https://example.com/proc/EEE/SSS/Z2/gas-cf4
eee066.hw066,[EEE/SSS/Z2] Gas Mass Flow SF6 Setup,GAS; MASS_SF6,https://example.com/proc/EEE/SSS/Z2/gas-sf6
eee067.hw067,[EEE/SSS/Z2] Valve VLV_01 Cycle Test,VALVE; VLV_01,https://example.com/proc/EEE/SSS/Z2/vlv-01
eee068.hw068,[EEE/SSS/Z2] Valve VLV_02 Cycle Test,VALVE; VLV_02,https://example.com/proc/EEE/SSS/Z2/vlv-02
eee069.hw069,[EEE/SSS/Z2] Valve VLV_03 Cycle Test,VALVE; VLV_03,https://example.com/proc/EEE/SSS/Z2/vlv-03
eee070.hw070,[EEE/SSS/Z2] Valve VLV_04 Cycle Test,VALVE; VLV_04,https://example.com/proc/EEE/SSS/Z2/vlv-04
eee071.hw071,[EEE/SSS/Z2] Valve VLV_05 Cycle Test,VALVE; VLV_05,https://example.com/proc/EEE/SSS/Z2/vlv-05
eee072.hw072,[EEE/SSS/Z2] Valve VLV_06 Cycle Test,VALVE; VLV_06,https://example.com/proc/EEE/SSS/Z2/vlv-06
eee073.hw073,[EEE/SSS/Z2] Valve VLV_07 Cycle Test,VALVE; VLV_07,https://example.com/proc/EEE/SSS/Z2/vlv-07
eee074.hw074,[EEE/SSS/Z2] Valve VLV_08 Cycle Test,VALVE; VLV_08,https://example.com/proc/EEE/SSS/Z2/vlv-08
eee075.hw075,[EEE/SSS/Z2] Valve VLV_09 Cycle Test,VALVE; VLV_09,https://example.com/proc/EEE/SSS/Z2/vlv-09
eee076.hw076,[EEE/SSS/Z2] Valve VLV_10 Cycle Test,VALVE; VLV_10,https://example.com/proc/EEE/SSS/Z2/vlv-10
eee077.hw077,[EEE/SSS/Z2] Valve VLV_11 Cycle Test,VALVE; VLV_11,https://example.com/proc/EEE/SSS/Z2/vlv-11
eee078.hw078,[EEE/SSS/Z2] Valve VLV_12 Cycle Test,VALVE; VLV_12,https://example.com/proc/EEE/SSS/Z2/vlv-12
eee079.hw079,[EEE/SSS/Z2] Full Motor Diagnostic Sweep,MOTOR; SERVO; AXIS_X; AXIS_Y; AXIS_Z,https://example.com/proc/EEE/SSS/Z2/motor-sweep
eee080.hw080,[EEE/SSS/Z2] Sensor Array Health Check — full sequence with safety interlock verification and post-run validation,SENSOR; PROXIMITY; PROX_01; PROX_02; ENCODER,https://example.com/proc/EEE/SSS/Z2/sensor-health
eee081.hw081,[EEE/SSS/Z2] Triple-axis alignment pass,MOTOR; SERVO; AXIS_X; AXIS_Y; AXIS_T,https://example.com/proc/EEE/SSS/Z2/triple-align
eee082.ot101,"[EEE/SSS/Z2] 일일 점검 체크리스트 (Daily calibration) — extended procedure including pre-check, main operation, and recovery steps",MAINTENANCE; CALIBRATION; DAILY,https://example.com/proc/EEE/SSS/Z2/cal-daily
eee083.ot102,[EEE/SSS/Z2] Calibration WEEKLY — operator guide with parameter reference and troubleshooting appendix,MAINTENANCE; CALIBRATION; WEEKLY,https://example.com/proc/EEE/SSS/Z2/cal-weekly
eee084.ot103,[EEE/SSS/Z2] Calibration MONTHLY — detailed workflow for production environment with sign-off requirements,MAINTENANCE; CALIBRATION; MONTHLY,https://example.com/proc/EEE/SSS/Z2/cal-monthly
eee085.ot104,[EEE/SSS/Z2] Calibration QUARTERLY — full sequence with safety interlock verification and post-run validation,MAINTENANCE; CALIBRATION; QUARTERLY,https://example.com/proc/EEE/SSS/Z2/cal-quarterly
eee086.ot105,"[EEE/SSS/Z2] Calibration ANNUAL — extended procedure including pre-check, main operation, and recovery steps",MAINTENANCE; CALIBRATION; ANNUAL,https://example.com/proc/EEE/SSS/Z2/cal-annual
eee087.ot106,[EEE/SSS/Z2] Clean FILTER,MAINTENANCE; CLEAN; FILTER,https://example.com/proc/EEE/SSS/Z2/clean-filter
eee088.ot107,[EEE/SSS/Z2] Clean CHUCK,MAINTENANCE; CLEAN; CHUCK,https://example.com/proc/EEE/SSS/Z2/clean-chuck
eee089.ot108,[EEE/SSS/Z2] Clean WINDOW,MAINTENANCE; CLEAN; WINDOW,https://example.com/proc/EEE/SSS/Z2/clean-window
eee090.ot109,[EEE/SSS/Z2] Clean NOZZLE,MAINTENANCE; CLEAN; NOZZLE,https://example.com/proc/EEE/SSS/Z2/clean-nozzle
eee091.ot110,[EEE/SSS/Z2] Clean SHOWER,MAINTENANCE; CLEAN; SHOWER,https://example.com/proc/EEE/SSS/Z2/clean-shower
eee092.ot111,[EEE/SSS/Z2] Maintenance Checklist CHK_001,MAINTENANCE; CHK_001,https://example.com/proc/EEE/SSS/Z2/chk-001
eee093.ot112,[EEE/SSS/Z2] Maintenance Checklist CHK_002,MAINTENANCE; CHK_002,https://example.com/proc/EEE/SSS/Z2/chk-002
eee094.ot113,[EEE/SSS/Z2] Maintenance Checklist CHK_003,MAINTENANCE; CHK_003,https://example.com/proc/EEE/SSS/Z2/chk-003
eee095.ot114,[EEE/SSS/Z2] Maintenance Checklist CHK_004,MAINTENANCE; CHK_004,https://example.com/proc/EEE/SSS/Z2/chk-004
eee096.ot115,[EEE/SSS/Z2] Maintenance Checklist CHK_005,MAINTENANCE; CHK_005,https://example.com/proc/EEE/SSS/Z2/chk-005
eee097.ot116,[EEE/SSS/Z2] Maintenance Checklist CHK_006,MAINTENANCE; CHK_006,https://example.com/proc/EEE/SSS/Z2/chk-006
eee098.ot117,[EEE/SSS/Z2] Maintenance Checklist CHK_007,MAINTENANCE; CHK_007,https://example.com/proc/EEE/SSS/Z2/chk-007
eee099.ot118,[EEE/SSS/Z2] Maintenance Checklist CHK_008,MAINTENANCE; CHK_008,https://example.com/proc/EEE/SSS/Z2/chk-008
eee100.ot119,[EEE/SSS/Z2] Maintenance Checklist CHK_009,MAINTENANCE; CHK_009,https://example.com/proc/EEE/SSS/Z2/chk-009
eee101.ot120,[EEE/SSS/Z2] Maintenance Checklist CHK_010,MAINTENANCE; CHK_010,https://example.com/proc/EEE/SSS/Z2/chk-010
eee102.ot121,[EEE/SSS/Z2] Maintenance Checklist CHK_011,MAINTENANCE; CHK_011,https://example.com/proc/EEE/SSS/Z2/chk-011
eee103.ot122,[EEE/SSS/Z2] Maintenance Checklist CHK_012,MAINTENANCE; CHK_012,https://example.com/proc/EEE/SSS/Z2/chk-012
eee104.ot123,[EEE/SSS/Z2] Maintenance Checklist CHK_013,MAINTENANCE; CHK_013,https://example.com/proc/EEE/SSS/Z2/chk-013
eee105.ot124,[EEE/SSS/Z2] Maintenance Checklist CHK_014,MAINTENANCE; CHK_014,https://example.com/proc/EEE/SSS/Z2/chk-014
eee106.ot125,[EEE/SSS/Z2] Maintenance Checklist CHK_015,MAINTENANCE; CHK_015,https://example.com/proc/EEE/SSS/Z2/chk-015
eee107.ot126,[EEE/SSS/Z2] 알람 리셋 및 확인 (ALM_001),DIAGNOSTIC; ALM_001,https://example.com/proc/EEE/SSS/Z2/alm-001
eee108.ot127,[EEE/SSS/Z2] Alarm ALM_002 Acknowledge,DIAGNOSTIC; ALM_002,https://example.com/proc/EEE/SSS/Z2/alm-002
