name,title,tag,link
eee001.hw001,[EEE/TTT/Q2] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/TTT/Q2/homing-axis_x
eee002.hw002,[EEE/TTT/Q2] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/EEE/TTT/Q2/jog-axis_x
eee003.hw003,[EEE/TTT/Q2] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/TTT/Q2/homing-axis_y
eee004.hw004,[EEE/TTT/Q2] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/EEE/TTT/Q2/jog-axis_y
eee005.hw005,[EEE/TTT/Q2] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/TTT/Q2/homing-axis_z
eee006.hw006,[EEE/TTT/Q2] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/EEE/TTT/Q2/jog-axis_z
eee007.hw007,[EEE/TTT/Q2] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/TTT/Q2/homing-axis_r
eee008.hw008,[EEE/TTT/Q2] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/EEE/TTT/Q2/jog-axis_r
eee009.hw009,[EEE/TTT/Q2] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/TTT/Q2/homing-axis_t
eee010.hw010,[EEE/TTT/Q2] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/EEE/TTT/Q2/jog-axis_t
eee011.hw011,[EEE/TTT/Q2] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/EEE/TTT/Q2/stepper-feed_a
eee012.hw012,[EEE/TTT/Q2] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/EEE/TTT/Q2/stepper-feed_b
eee013.hw013,[EEE/TTT/Q2] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/EEE/TTT/Q2/stepper-feed_c
eee014.hw014,[EEE/TTT/Q2] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/EEE/TTT/Q2/spindle-sp_01
eee015.hw015,[EEE/TTT/Q2] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/EEE/TTT/Q2/spindle-sp_02
eee016.hw016,[EEE/TTT/Q2] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/EEE/TTT/Q2/spindle-sp_03
eee017.hw017,[EEE/TTT/Q2] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/EEE/TTT/Q2/prox-01
eee018.hw018,[EEE/TTT/Q2] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/EEE/TTT/Q2/prox-02
eee019.hw019,[EEE/TTT/Q2] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/EEE/TTT/Q2/prox-03
eee020.hw020,[EEE/TTT/Q2] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/EEE/TTT/Q2/prox-04
eee021.hw021,[EEE/TTT/Q2] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/EEE/TTT/Q2/prox-05
eee022.hw022,[EEE/TTT/Q2] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/EEE/TTT/Q2/prox-06
eee023.hw023,[EEE/TTT/Q2] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/EEE/TTT/Q2/prox-07
eee024.hw024,[EEE/TTT/Q2] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/EEE/TTT/Q2/prox-08
eee025.hw025,[EEE/TTT/Q2] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/EEE/TTT/Q2/enc-01
eee026.hw026,[EEE/TTT/Q2] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/EEE/TTT/Q2/enc-02
eee027.hw027,[EEE/TTT/Q2] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/EEE/TTT/Q2/enc-03
eee028.hw028,[EEE/TTT/Q2] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/EEE/TTT/Q2/enc-04
eee029.hw029,[EEE/TTT/Q2] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/EEE/TTT/Q2/temp-chamber
eee030.hw030,[EEE/TTT/Q2] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/EEE/TTT/Q2/temp-stage
eee031.hw031,[EEE/TTT/Q2] Temperature LAMP Monitor,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/EEE/TTT/Q2/temp-lamp
eee032.hw032,[EEE/TTT/Q2] Temperature EXHAUST Monitor— full sequence with safety interlock verification and post-run validation,SENSOR; TEMPERATURE; EXHAUST,https://example.com/proc/EEE/TTT/Q2/temp-exhaust
eee033.hw033,[EEE/TTT/Q2] IO Port 01 Configuration,IO; PORT_01,https://example.com/proc/EEE/TTT/Q2/io-p01
eee034.hw034,[EEE/TTT/Q2] IO Port 02 Configuration,IO; PORT_02,https://example.com/proc/EEE/TTT/Q2/io-p02
eee035.hw035,[EEE/TTT/Q2] IO Port 03 Configuration,IO; PORT_03,https://example.com/proc/EEE/TTT/Q2/io-p03
eee036.hw036,[EEE/TTT/Q2] IO Port 04 Configuration,IO; PORT_04,https://example.com/proc/EEE/TTT/Q2/io-p04
eee037.hw037,[EEE/TTT/Q2] IO Port 05 Configuration,IO; PORT_05,https://example.com/proc/EEE/TTT/Q2/io-p05
eee038.hw038,[EEE/TTT/Q2] IO Port 06 Configuration,IO; PORT_06,https://example.com/proc/EEE/TTT/Q2/io-p06
eee039.hw039,[EEE/TTT/Q2] IO Port 07 Configuration,IO; PORT_07,https://example.com/proc/EEE/TTT/Q2/io-p07
eee040.hw040,[EEE/TTT/Q2] IO Port 08 Configuration,IO; PORT_08,https://example.com/proc/EEE/TTT/Q2/io-p08
eee041.hw041,[EEE/TTT/Q2] IO Port 09 Configuration,IO; PORT_09,https://example.com/proc/EEE/TTT/Q2/io-p09
eee042.hw042,[EEE/TTT/Q2] IO Port 10 Configuration,IO; PORT_10,https://example.com/proc/EEE/TTT/Q2/io-p10
eee043.hw043,[EEE/TTT/Q2] IO Port 11 Configuration,IO; PORT_11,https://example.com/proc/EEE/TTT/Q2/io-p11
eee044.hw044,[EEE/TTT/Q2] IO Port 12 Configuration,IO; PORT_12,https://example.com/proc/EEE/TTT/Q2/io-p12
eee045.hw045,[EEE/TTT/Q2] IO Port 13 Configuration,IO; PORT_13,https://example.com/proc/EEE/TTT/Q2/io-p13
eee046.hw046,[EEE/TTT/Q2] IO Port 14 Configuration,IO; PORT_14,https://example.com/proc/EEE/TTT/Q2/io-p14
eee047.hw047,[EEE/TTT/Q2] IO Port 15 Configuration,IO; PORT_15,https://example.com/proc/EEE/TTT/Q2/io-p15
eee048.hw048,[EEE/TTT/Q2] IO Port 16 Configuration,IO; PORT_16,https://example.com/proc/EEE/TTT/Q2/io-p16
eee049.hw049,[EEE/TTT/Q2] Laser ALIGN Calibration,OPTICS; LASER; ALIGN,https://example.com/proc/EEE/TTT/Q2/laser-align
eee050.hw050,[EEE/TTT/Q2] Laser POWER Calibration,OPTICS; LASER; POWER,https://example.com/proc/EEE/TTT/Q2/laser-power
eee051.hw051,[EEE/TTT/Q2] Laser PULSE Calibration,OPTICS; LASER; PULSE,https://example.com/proc/EEE/TTT/Q2/laser-pulse
eee052.hw052,[EEE/TTT/Q2] Laser WAVELENGTH Calibration— full sequence with safety interlock verification and post-run validation,OPTICS; LASER; WAVELENGTH,https://example.com/proc/EEE/TTT/Q2/laser-wavelength
eee053.hw053,[EEE/TTT/Q2] Camera TOP Focus,OPTICS; CAMERA; TOP,https://example.com/proc/EEE/TTT/Q2/cam-top
eee054.hw054,[EEE/TTT/Q2] Camera SIDE Focus,OPTICS; CAMERA; SIDE,https://example.com/proc/EEE/TTT/Q2/cam-side
eee055.hw055,[EEE/TTT/Q2] Camera BOTTOM Focus,OPTICS; CAMERA; BOTTOM,https://example.com/proc/EEE/TTT/Q2/cam-bottom
eee056.hw056,[EEE/TTT/Q2] Camera MACRO Focus,OPTICS; CAMERA; MACRO,https://example.com/proc/EEE/TTT/Q2/cam-macro
eee057.hw057,[EEE/TTT/Q2] Conveyor Belt IN Sync,CONVEYOR; BELT_IN,https://example.com/proc/EEE/TTT/Q2/belt-in
eee058.hw058,[EEE/TTT/Q2] Conveyor Belt OUT Sync,CONVEYOR; BELT_OUT,https://example.com/proc/EEE/TTT/Q2/belt-out
eee059.hw059,[EEE/TTT/Q2] Conveyor Belt BUFFER Sync,CONVEYOR; BELT_BUFFER,https://example.com/proc/EEE/TTT/Q2/belt-buffer
eee060.hw060,[EEE/TTT/Q2] Conveyor Belt REJECT Sync,CONVEYOR; BELT_REJECT,https://example.com/proc/EEE/TTT/Q2/belt-reject
eee061.hw061,[EEE/TTT/Q2] Robot Joint J1 Teach,ROBOT; J1,https://example.com/proc/EEE/TTT/Q2/robot-j1
eee062.hw062,[EEE/TTT/Q2] Robot Joint J2 Teach,ROBOT; J2,https://example.com/proc/EEE/TTT/Q2/robot-j2
eee063.hw063,[EEE/TTT/Q2] Robot Joint J3 Teach,ROBOT; J3,https://example.com/proc/EEE/TTT/Q2/robot-j3
eee064.hw064,[EEE/TTT/Q2] Robot Joint J4 Teach— full sequence with safety interlock verification and post-run validation,ROBOT; J4,https://example.com/proc/EEE/TTT/Q2/robot-j4
eee065.hw065,[EEE/TTT/Q2] Robot Joint J5 Teach,ROBOT; J5,https://example.com/proc/EEE/TTT/Q2/robot-j5
eee066.hw066,[EEE/TTT/Q2] Robot Joint J6 Teach,ROBOT; J6,https://example.com/proc/EEE/TTT/Q2/robot-j6
eee067.hw067,[EEE/TTT/Q2] Valve VLV_01 Cycle Test,VALVE; VLV_01,https://example.com/proc/EEE/TTT/Q2/vlv-01
eee068.hw068,[EEE/TTT/Q2] Valve VLV_02 Cycle Test,VALVE; VLV_02,https://example.com/proc/EEE/TTT/Q2/vlv-02
eee069.hw069,[EEE/TTT/Q2] Valve VLV_03 Cycle Test,VALVE; VLV_03,https://example.com/proc/EEE/TTT/Q2/vlv-03
eee070.hw070,[EEE/TTT/Q2] Valve VLV_04 Cycle Test,VALVE; VLV_04,https://example.com/proc/EEE/TTT/Q2/vlv-04
eee071.hw071,[EEE/TTT/Q2] Valve VLV_05 Cycle Test,VALVE; VLV_05,https://example.com/proc/EEE/TTT/Q2/vlv-05
eee072.hw072,[EEE/TTT/Q2] Valve VLV_06 Cycle Test,VALVE; VLV_06,https://example.com/proc/EEE/TTT/Q2/vlv-06
eee073.hw073,[EEE/TTT/Q2] Valve VLV_07 Cycle Test,VALVE; VLV_07,https://example.com/proc/EEE/TTT/Q2/vlv-07
eee074.hw074,[EEE/TTT/Q2] Valve VLV_08 Cycle Test,VALVE; VLV_08,https://example.com/proc/EEE/TTT/Q2/vlv-08
eee075.hw075,[EEE/TTT/Q2] Valve VLV_09 Cycle Test,VALVE; VLV_09,https://example.com/proc/EEE/TTT/Q2/vlv-09
eee076.hw076,[EEE/TTT/Q2] Valve VLV_10 Cycle Test,VALVE; VLV_10,https://example.com/proc/EEE/TTT/Q2/vlv-10
eee077.hw077,[EEE/TTT/Q2] Valve VLV_11 Cycle Test,VALVE; VLV_11,https://example.com/proc/EEE/TTT/Q2/vlv-11
eee078.hw078,[EEE/TTT/Q2] Valve VLV_12 Cycle Test,VALVE; VLV_12,https://example.com/proc/EEE/TTT/Q2/vlv-12
eee079.hw079,[EEE/TTT/Q2] Full Motor Diagnostic Sweep,MOTOR; SERVO; AXIS_X; AXIS_Y,https://example.com/proc/EEE/TTT/Q2/motor-sweep
eee080.hw080,[EEE/TTT/Q2] Sensor Array Health Check— full sequence with safety interlock verification and post-run validation,SENSOR; PROXIMITY; ENCODER,https://example.com/proc/EEE/TTT/Q2/sensor-health
eee081.ot101,"[EEE/TTT/Q2] Calibration DAILY— extended procedure including pre-check, main operation, and recovery steps",MAINTENANCE; CALIBRATION; DAILY,https://example.com/proc/EEE/TTT/Q2/cal-daily
eee082.ot102,[EEE/TTT/Q2] Calibration WEEKLY— operator guide with parameter reference and troubleshooting appendix,MAINTENANCE; CALIBRATION; WEEKLY,https://example.com/proc/EEE/TTT/Q2/cal-weekly
eee083.ot103,[EEE/TTT/Q2] Calibration MONTHLY— detailed workflow for production environment with sign-off requirements,MAINTENANCE; CALIBRATION; MONTHLY,https://example.com/proc/EEE/TTT/Q2/cal-monthly
eee084.ot104,[EEE/TTT/Q2] Calibration QUARTERLY— full sequence with safety interlock verification and post-run validation,MAINTENANCE; CALIBRATION; QUARTERLY,https://example.com/proc/EEE/TTT/Q2/cal-quarterly
eee085.ot105,"[EEE/TTT/Q2] Calibration ANNUAL— extended procedure including pre-check, main operation, and recovery steps",MAINTENANCE; CALIBRATION; ANNUAL,https://example.com/proc/EEE/TTT/Q2/cal-annual
eee086.ot106,[EEE/TTT/Q2] Clean FILTER,MAINTENANCE; CLEAN; FILTER,https://example.com/proc/EEE/TTT/Q2/clean-filter
eee087.ot107,[EEE/TTT/Q2] Clean CHUCK,MAINTENANCE; CLEAN; CHUCK,https://example.com/proc/EEE/TTT/Q2/clean-chuck
eee088.ot108,[EEE/TTT/Q2] Clean WINDOW,MAINTENANCE; CLEAN; WINDOW,https://example.com/proc/EEE/TTT/Q2/clean-window
