name,title,link
eee.uaall01,[EEE/UUU/all] Cross-machine Safety Interlock Reference,https://example.com/proc/EEE/UUU/all/01
eee.uaall02,[EEE/UUU/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/EEE/UUU/all/02
eee.uaall03,[EEE/UUU/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/EEE/UUU/all/03
eee.uaall04,[EEE/UUU/all] Global Parameter Export and Import Guide,https://example.com/proc/EEE/UUU/all/04
eee.uaall05,[EEE/UUU/all] Unified Alarm Code Master List,https://example.com/proc/EEE/UUU/all/05
eee.uaall06,[EEE/UUU/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/EEE/UUU/all/06
eee.uaall07,[EEE/UUU/all] Standard Naming Convention for Procedures,https://example.com/proc/EEE/UUU/all/07
eee.uaall08,[EEE/UUU/all] Part Release Notes and Change Log Index,https://example.com/proc/EEE/UUU/all/08
eee.uaall09,[EEE/UUU/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/EEE/UUU/all/09
eee.uaall10,[EEE/UUU/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/EEE/UUU/all/10
eee.uaall11,[EEE/UUU/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/EEE/UUU/all/11
eee.uaall12,[EEE/UUU/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/EEE/UUU/all/12
eee.uaall13,[EEE/UUU/all] Legacy migration checklist (deprecated paths),https://example.com/proc/EEE/UUU/all/13
eee.uaall14,[EEE/UUU/all] Quarterly audit template for all machines,https://example.com/proc/EEE/UUU/all/14
eee.uaall15,[EEE/UUU/all] Shared spare-parts and consumables index,https://example.com/proc/EEE/UUU/all/15
