name,title,tag,link
fff001.hw001,[FFF/SSS/Z2] Servo AXIS_X Homing,MOTOR; SERVO; AXIS_X,https://example.com/proc/FFF/SSS/Z2/homing-axis_x
fff002.hw002,[FFF/SSS/Z2] Servo AXIS_X Jog Mode,MOTOR; SERVO; AXIS_X,https://example.com/proc/FFF/SSS/Z2/jog-axis_x
fff003.hw003,[FFF/SSS/Z2] Servo AXIS_Y Homing,MOTOR; SERVO; AXIS_Y,https://example.com/proc/FFF/SSS/Z2/homing-axis_y
fff004.hw004,[FFF/SSS/Z2] Servo AXIS_Y Jog Mode,MOTOR; SERVO; AXIS_Y,https://example.com/proc/FFF/SSS/Z2/jog-axis_y
fff005.hw005,[FFF/SSS/Z2] Servo AXIS_Z Homing,MOTOR; SERVO; AXIS_Z,https://example.com/proc/FFF/SSS/Z2/homing-axis_z
fff006.hw006,[FFF/SSS/Z2] Servo AXIS_Z Jog Mode,MOTOR; SERVO; AXIS_Z,https://example.com/proc/FFF/SSS/Z2/jog-axis_z
fff007.hw007,[FFF/SSS/Z2] Servo AXIS_R Homing,MOTOR; SERVO; AXIS_R,https://example.com/proc/FFF/SSS/Z2/homing-axis_r
fff008.hw008,[FFF/SSS/Z2] Servo AXIS_R Jog Mode,MOTOR; SERVO; AXIS_R,https://example.com/proc/FFF/SSS/Z2/jog-axis_r
fff009.hw009,[FFF/SSS/Z2] Servo AXIS_T Homing,MOTOR; SERVO; AXIS_T,https://example.com/proc/FFF/SSS/Z2/homing-axis_t
fff010.hw010,[FFF/SSS/Z2] Servo AXIS_T Jog Mode,MOTOR; SERVO; AXIS_T,https://example.com/proc/FFF/SSS/Z2/jog-axis_t
fff011.hw011,[FFF/SSS/Z2] Stepper FEED_A Setup,MOTOR; STEPPER; FEED_A,https://example.com/proc/FFF/SSS/Z2/stepper-feed_a
fff012.hw012,[FFF/SSS/Z2] Stepper FEED_B Setup,MOTOR; STEPPER; FEED_B,https://example.com/proc/FFF/SSS/Z2/stepper-feed_b
fff013.hw013,[FFF/SSS/Z2] Stepper FEED_C Setup,MOTOR; STEPPER; FEED_C,https://example.com/proc/FFF/SSS/Z2/stepper-feed_c
fff014.hw014,[FFF/SSS/Z2] Spindle SP_01 Speed Tune,MOTOR; SPINDLE; SP_01,https://example.com/proc/FFF/SSS/Z2/spindle-sp_01
fff015.hw015,[FFF/SSS/Z2] Spindle SP_02 Speed Tune,MOTOR; SPINDLE; SP_02,https://example.com/proc/FFF/SSS/Z2/spindle-sp_02
fff016.hw016,[FFF/SSS/Z2] Spindle SP_03 Speed Tune— full sequence with safety interlock verification and post-run validation,MOTOR; SPINDLE; SP_03,https://example.com/proc/FFF/SSS/Z2/spindle-sp_03
fff017.hw017,[FFF/SSS/Z2] Proximity Sensor PROX_01 Adjust,SENSOR; PROXIMITY; PROX_01,https://example.com/proc/FFF/SSS/Z2/prox-01
fff018.hw018,[FFF/SSS/Z2] Proximity Sensor PROX_02 Adjust,SENSOR; PROXIMITY; PROX_02,https://example.com/proc/FFF/SSS/Z2/prox-02
fff019.hw019,[FFF/SSS/Z2] Proximity Sensor PROX_03 Adjust,SENSOR; PROXIMITY; PROX_03,https://example.com/proc/FFF/SSS/Z2/prox-03
fff020.hw020,[FFF/SSS/Z2] Proximity Sensor PROX_04 Adjust,SENSOR; PROXIMITY; PROX_04,https://example.com/proc/FFF/SSS/Z2/prox-04
fff021.hw021,[FFF/SSS/Z2] Proximity Sensor PROX_05 Adjust,SENSOR; PROXIMITY; PROX_05,https://example.com/proc/FFF/SSS/Z2/prox-05
fff022.hw022,[FFF/SSS/Z2] Proximity Sensor PROX_06 Adjust,SENSOR; PROXIMITY; PROX_06,https://example.com/proc/FFF/SSS/Z2/prox-06
fff023.hw023,[FFF/SSS/Z2] Proximity Sensor PROX_07 Adjust,SENSOR; PROXIMITY; PROX_07,https://example.com/proc/FFF/SSS/Z2/prox-07
fff024.hw024,[FFF/SSS/Z2] Proximity Sensor PROX_08 Adjust,SENSOR; PROXIMITY; PROX_08,https://example.com/proc/FFF/SSS/Z2/prox-08
fff025.hw025,[FFF/SSS/Z2] Encoder ENC_01 Reset,SENSOR; ENCODER; ENC_01,https://example.com/proc/FFF/SSS/Z2/enc-01
fff026.hw026,[FFF/SSS/Z2] Encoder ENC_02 Reset,SENSOR; ENCODER; ENC_02,https://example.com/proc/FFF/SSS/Z2/enc-02
fff027.hw027,[FFF/SSS/Z2] Encoder ENC_03 Reset,SENSOR; ENCODER; ENC_03,https://example.com/proc/FFF/SSS/Z2/enc-03
fff028.hw028,[FFF/SSS/Z2] Encoder ENC_04 Reset,SENSOR; ENCODER; ENC_04,https://example.com/proc/FFF/SSS/Z2/enc-04
fff029.hw029,[FFF/SSS/Z2] Temperature CHAMBER Monitor,SENSOR; TEMPERATURE; CHAMBER,https://example.com/proc/FFF/SSS/Z2/temp-chamber
fff030.hw030,[FFF/SSS/Z2] Temperature STAGE Monitor,SENSOR; TEMPERATURE; STAGE,https://example.com/proc/FFF/SSS/Z2/temp-stage
fff031.hw031,[FFF/SSS/Z2] Temperature LAMP Monitor,SENSOR; TEMPERATURE; LAMP,https://example.com/proc/FFF/SSS/Z2/temp-lamp
fff032.hw032,[FFF/SSS/Z2] Temperature EXHAUST Monitor— full sequence with safety interlock verification and post-run validation,SENSOR; TEMPERATURE; EXHAUST,https://example.com/proc/FFF/SSS/Z2/temp-exhaust
fff033.hw033,[FFF/SSS/Z2] IO Port 01 Configuration,IO; PORT_01,https://example.com/proc/FFF/SSS/Z2/io-p01
fff034.hw034,[FFF/SSS/Z2] IO Port 02 Configuration,IO; PORT_02,https://example.com/proc/FFF/SSS/Z2/io-p02
fff035.hw035,[FFF/SSS/Z2] IO Port 03 Configuration,IO; PORT_03,https://example.com/proc/FFF/SSS/Z2/io-p03
fff036.hw036,[FFF/SSS/Z2] IO Port 04 Configuration,IO; PORT_04,https://example.com/proc/FFF/SSS/Z2/io-p04
fff037.hw037,[FFF/SSS/Z2] IO Port 05 Configuration,IO; PORT_05,https://example.com/proc/FFF/SSS/Z2/io-p05
fff038.hw038,[FFF/SSS/Z2] IO Port 06 Configuration,IO; PORT_06,https://example.com/proc/FFF/SSS/Z2/io-p06
fff039.hw039,[FFF/SSS/Z2] IO Port 07 Configuration,IO; PORT_07,https://example.com/proc/FFF/SSS/Z2/io-p07
fff040.hw040,[FFF/SSS/Z2] IO Port 08 Configuration,IO; PORT_08,https://example.com/proc/FFF/SSS/Z2/io-p08
fff041.hw041,[FFF/SSS/Z2] IO Port 09 Configuration,IO; PORT_09,https://example.com/proc/FFF/SSS/Z2/io-p09
fff042.hw042,[FFF/SSS/Z2] IO Port 10 Configuration,IO; PORT_10,https://example.com/proc/FFF/SSS/Z2/io-p10
fff043.hw043,[FFF/SSS/Z2] IO Port 11 Configuration,IO; PORT_11,https://example.com/proc/FFF/SSS/Z2/io-p11
