name,title,link
fff.saall01,[FFF/SSS/all] Cross-machine Safety Interlock Reference,https://example.com/proc/FFF/SSS/all/01
fff.saall02,[FFF/SSS/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/FFF/SSS/all/02
fff.saall03,[FFF/SSS/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/FFF/SSS/all/03
fff.saall04,[FFF/SSS/all] Global Parameter Export and Import Guide,https://example.com/proc/FFF/SSS/all/04
fff.saall05,[FFF/SSS/all] Unified Alarm Code Master List,https://example.com/proc/FFF/SSS/all/05
fff.saall06,[FFF/SSS/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/FFF/SSS/all/06
fff.saall07,[FFF/SSS/all] Standard Naming Convention for Procedures,https://example.com/proc/FFF/SSS/all/07
fff.saall08,[FFF/SSS/all] Part Release Notes and Change Log Index,https://example.com/proc/FFF/SSS/all/08
fff.saall09,[FFF/SSS/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/FFF/SSS/all/09
fff.saall10,[FFF/SSS/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/FFF/SSS/all/10
fff.saall11,[FFF/SSS/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/FFF/SSS/all/11
fff.saall12,[FFF/SSS/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/FFF/SSS/all/12
fff.saall13,[FFF/SSS/all] Legacy migration checklist (deprecated paths),https://example.com/proc/FFF/SSS/all/13
fff.saall14,[FFF/SSS/all] Quarterly audit template for all machines,https://example.com/proc/FFF/SSS/all/14
fff.saall15,[FFF/SSS/all] Shared spare-parts and consumables index,https://example.com/proc/FFF/SSS/all/15
