name,title,link
fff.uaall01,[FFF/UUU/all] Cross-machine Safety Interlock Reference,https://example.com/proc/FFF/UUU/all/01
fff.uaall02,[FFF/UUU/all] Part-wide Firmware Compatibility Matrix,https://example.com/proc/FFF/UUU/all/02
fff.uaall03,[FFF/UUU/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/FFF/UUU/all/03
fff.uaall04,[FFF/UUU/all] Global Parameter Export and Import Guide,https://example.com/proc/FFF/UUU/all/04
fff.uaall05,[FFF/UUU/all] Unified Alarm Code Master List,https://example.com/proc/FFF/UUU/all/05
fff.uaall06,[FFF/UUU/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/FFF/UUU/all/06
fff.uaall07,[FFF/UUU/all] Standard Naming Convention for Procedures,https://example.com/proc/FFF/UUU/all/07
fff.uaall08,[FFF/UUU/all] Part Release Notes and Change Log Index,https://example.com/proc/FFF/UUU/all/08
fff.uaall09,[FFF/UUU/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/FFF/UUU/all/09
fff.uaall10,[FFF/UUU/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/FFF/UUU/all/10
fff.uaall11,[FFF/UUU/all] 한글 공통 절차 — 전 config 적용 가이드,https://example.com/proc/FFF/UUU/all/11
fff.uaall12,[FFF/UUU/all] Training bundle — no MAP mapping (part-all only),https://example.com/proc/FFF/UUU/all/12
fff.uaall13,[FFF/UUU/all] Legacy migration checklist (deprecated paths),https://example.com/proc/FFF/UUU/all/13
fff.uaall14,[FFF/UUU/all] Quarterly audit template for all machines,https://example.com/proc/FFF/UUU/all/14
fff.uaall15,[FFF/UUU/all] Shared spare-parts and consumables index,https://example.com/proc/FFF/UUU/all/15
