name,title,link
bbb.all01,[BBB/all] Cross-machine Safety Interlock Reference,https://example.com/proc/BBB/all/01
bbb.all02,[BBB/all] Module-wide Firmware Compatibility Matrix,https://example.com/proc/BBB/all/02
bbb.all03,[BBB/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/BBB/all/03
bbb.all04,[BBB/all] Global Parameter Export and Import Guide,https://example.com/proc/BBB/all/04
bbb.all05,[BBB/all] Unified Alarm Code Master List,https://example.com/proc/BBB/all/05
bbb.all06,[BBB/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/BBB/all/06
bbb.all07,[BBB/all] Standard Naming Convention for Procedures,https://example.com/proc/BBB/all/07
bbb.all08,[BBB/all] Module Release Notes and Change Log Index,https://example.com/proc/BBB/all/08
bbb.all09,[BBB/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/BBB/all/09
bbb.all10,[BBB/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/BBB/all/10
