name,title,link
ccc.all01,[CCC/all] Cross-machine Safety Interlock Reference,https://example.com/proc/CCC/all/01
ccc.all02,[CCC/all] Module-wide Firmware Compatibility Matrix,https://example.com/proc/CCC/all/02
ccc.all03,[CCC/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/CCC/all/03
ccc.all04,[CCC/all] Global Parameter Export and Import Guide,https://example.com/proc/CCC/all/04
ccc.all05,[CCC/all] Unified Alarm Code Master List,https://example.com/proc/CCC/all/05
ccc.all06,[CCC/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/CCC/all/06
ccc.all07,[CCC/all] Standard Naming Convention for Procedures,https://example.com/proc/CCC/all/07
ccc.all08,[CCC/all] Module Release Notes and Change Log Index,https://example.com/proc/CCC/all/08
ccc.all09,[CCC/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/CCC/all/09
ccc.all10,[CCC/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/CCC/all/10
