name,title,link
ddd.all01,[DDD/all] Cross-machine Safety Interlock Reference,https://example.com/proc/DDD/all/01
ddd.all02,[DDD/all] Module-wide Firmware Compatibility Matrix,https://example.com/proc/DDD/all/02
ddd.all03,[DDD/all] Shared Operator Checklist (All Machine Types),https://example.com/proc/DDD/all/03
ddd.all04,[DDD/all] Global Parameter Export and Import Guide,https://example.com/proc/DDD/all/04
ddd.all05,[DDD/all] Unified Alarm Code Master List,https://example.com/proc/DDD/all/05
ddd.all06,[DDD/all] Multi-tool Preventive Maintenance Schedule,https://example.com/proc/DDD/all/06
ddd.all07,[DDD/all] Standard Naming Convention for Procedures,https://example.com/proc/DDD/all/07
ddd.all08,[DDD/all] Module Release Notes and Change Log Index,https://example.com/proc/DDD/all/08
ddd.all09,[DDD/all] Fleet-wide Configuration Backup Procedure,https://example.com/proc/DDD/all/09
ddd.all10,[DDD/all] All-machine Diagnostic Data Collection Runbook,https://example.com/proc/DDD/all/10
